method,rr_long,rr_short,yc_long,yc_short,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
D,2.0,-3.75,-0.5,-1.0,-0.04832322323547934,-0.0474172374797579,0.001906663403975939,0.1479588217583547,-0.34835686766691165,0.005473305052791533,0.03304517201101609,3
D,2.0,-3.75,-0.5,-0.5,-0.045825051467096194,-0.045010835100081824,0.0023381395718633513,0.14764753068748784,-0.34355056097076386,0.006805809209731801,0.040664575456398344,3
D,2.0,-3.75,-0.5,-0.25,-0.045825051467096194,-0.045010835100081824,0.0023381395718633513,0.14764753068748784,-0.34355056097076386,0.006805809209731801,0.040664575456398344,3
D,2.0,-3.75,-0.5,0.0,-0.045825051467096194,-0.045010835100081824,0.0023381395718633513,0.14764753068748784,-0.34355056097076386,0.006805809209731801,0.040664575456398344,3
D,2.0,-3.75,-0.5,0.5,-0.024784183325038144,-0.0244852462759935,0.006063807199937932,0.1441341726932817,-0.3435505609707619,0.01765040692352121,0.10869236164906448,7
D,2.0,-3.75,0.0,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.75,0.0,-0.5,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.0,-0.25,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.0,0.0,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.0,0.5,-0.022784466312139182,-0.022303452299445886,0.006972277028978624,0.14039871097096848,-0.33335975400375656,0.020915173308233406,0.1259038469084146,7
D,2.0,-3.75,0.25,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.75,0.25,-0.5,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.25,-0.25,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.25,0.0,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.25,0.5,-0.022784466312139182,-0.022303452299445886,0.006972277028978624,0.14039871097096848,-0.33335975400375656,0.020915173308233406,0.1259038469084146,7
D,2.0,-3.75,0.5,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.75,0.5,-0.5,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.5,-0.25,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.5,0.0,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,0.5,0.5,-0.06719081787110408,-0.06552440694417197,0.0015882580956867454,0.13611824438022882,-0.3190676360426748,0.004977810082481441,0.027456188869937614,7
D,2.0,-3.75,1.0,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.75,1.0,-0.5,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,1.0,-0.25,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,1.0,0.0,-0.04439217066685002,-0.043203327232949035,0.0032432451444734944,0.1440032676205778,-0.33335975400375634,0.009728964296142806,0.05681998846362579,3
D,2.0,-3.75,1.0,0.5,-0.06719081787110408,-0.06552440694417197,0.0015882580956867454,0.13611824438022882,-0.3190676360426748,0.004977810082481441,0.027456188869937614,7
D,2.0,-3.5,-0.5,-1.0,-0.04832322323547934,-0.0474172374797579,0.001906663403975939,0.1479588217583547,-0.34835686766691165,0.005473305052791533,0.03304517201101609,3
D,2.0,-3.5,-0.5,-0.5,-0.10215101726098424,-0.10083792888440309,-0.005447787044965624,0.14556207614855968,-0.35001713250740574,-0.015564343967792372,-0.08901976703646974,5
D,2.0,-3.5,-0.5,-0.25,-0.10215101726098424,-0.10083792888440309,-0.005447787044965624,0.14556207614855968,-0.35001713250740574,-0.015564343967792372,-0.08901976703646974,5
D,2.0,-3.5,-0.5,0.0,-0.10215101726098424,-0.10083792888440309,-0.005447787044965624,0.14556207614855968,-0.35001713250740574,-0.015564343967792372,-0.08901976703646974,5
D,2.0,-3.5,-0.5,0.5,-0.07188859769327381,-0.0713067164261159,-0.0004448870157592877,0.14274665117807403,-0.35001713250740396,-0.0012710435417039962,-0.00756601354649189,7
D,2.0,-3.5,0.0,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.5,0.0,-0.5,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.0,-0.25,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.0,0.0,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.0,0.5,-0.07115374529218758,-0.06992549511021354,0.0004577054998555763,0.13897397075784373,-0.3399267134428777,0.0013464828792647697,0.00784066148761342,7
D,2.0,-3.5,0.25,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.5,0.25,-0.5,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.25,-0.25,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.25,0.0,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.25,0.5,-0.07115374529218758,-0.06992549511021354,0.0004577054998555763,0.13897397075784373,-0.3399267134428777,0.0013464828792647697,0.00784066148761342,7
D,2.0,-3.5,0.5,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.5,0.5,-0.5,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.5,-0.25,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.5,0.0,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,0.5,0.5,-0.11760751797728815,-0.11510416072322321,-0.00489148171338305,0.13464704683297574,-0.32577538469984074,-0.015014890452481265,-0.08028369573156713,7
D,2.0,-3.5,1.0,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.5,1.0,-0.5,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,1.0,-0.25,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,1.0,0.0,-0.10218196139718404,-0.09992860784182045,-0.004549712119290561,0.1418643358643234,-0.3399267134428786,-0.013384391221300987,-0.07487759072717404,5
D,2.0,-3.5,1.0,0.5,-0.11760751797728815,-0.11510416072322321,-0.00489148171338305,0.13464704683297574,-0.32577538469984074,-0.015014890452481265,-0.08028369573156713,7
D,2.0,-3.25,-0.5,-1.0,-0.04832322323547934,-0.0474172374797579,0.001906663403975939,0.1479588217583547,-0.34835686766691165,0.005473305052791533,0.03304517201101609,3
D,2.0,-3.25,-0.5,-0.5,-0.07901697384774176,-0.0782510685461639,-0.0017234122765723559,0.1439072071855976,-0.3072006363614155,-0.005610054383301457,-0.029010521278618362,5
D,2.0,-3.25,-0.5,-0.25,-0.07901697384774176,-0.0782510685461639,-0.0017234122765723559,0.1439072071855976,-0.3072006363614155,-0.005610054383301457,-0.029010521278618362,5
D,2.0,-3.25,-0.5,0.0,-0.07901697384774176,-0.0782510685461639,-0.0017234122765723559,0.1439072071855976,-0.3072006363614155,-0.005610054383301457,-0.029010521278618362,5
D,2.0,-3.25,-0.5,0.5,-0.07746286102162492,-0.07731770487566308,-0.0006528120485184141,0.14006106867923399,-0.30720063636141837,-0.002125034818451312,-0.011083601306266067,9
D,2.0,-3.25,0.0,-1.0,-0.04695395880120331,-0.04564966861154217,0.0028113793560888833,0.1443224232088774,-0.3382406744338099,0.008311771967682261,0.04908230040239325,3
D,2.0,-3.25,0.0,-0.5,-0.07846261775672786,-0.07697566686878966,-0.0008219742619115511,0.14016577931981203,-0.2964455284095439,-0.002772766606808052,-0.013936753587881268,5
