method,yc_confirm,tl_c,ts_c,tl_s,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
C,-0.5,-3.75,2.25,-4.5,0.10974680784645416,0.11008314308442145,0.026311841231144717,0.11973701300992816,-0.2740103962532738,0.09602497420143179,0.5577927643003,7
C,-0.5,-3.75,2.25,-4.25,0.10974680784645416,0.11008314308442145,0.026311841231144717,0.11973701300992816,-0.2740103962532738,0.09602497420143179,0.5577927643003,7
C,-0.5,-3.75,2.25,-4.0,0.10974680784645416,0.11008314308442145,0.026311841231144717,0.11973701300992816,-0.2740103962532738,0.09602497420143179,0.5577927643003,7
C,-0.5,-3.75,2.25,-3.75,0.10974680784645416,0.11008314308442145,0.026311841231144717,0.11973701300992816,-0.2740103962532738,0.09602497420143179,0.5577927643003,7
C,-0.5,-3.75,2.25,-3.5,0.10489903153014908,0.10522300462885277,0.025716720322118025,0.11971197855429812,-0.2811619960999121,0.09146584772779703,0.5424472132941043,7
C,-0.5,-3.75,2.5,-4.5,-0.03914127004665633,-0.03879966775341666,0.009525853348000934,0.11107749562939082,-0.2740103962532738,0.034764569075678355,0.1756399528692787,5
C,-0.5,-3.75,2.5,-4.25,-0.03914127004665633,-0.03879966775341666,0.009525853348000934,0.11107749562939082,-0.2740103962532738,0.034764569075678355,0.1756399528692787,5
C,-0.5,-3.75,2.5,-4.0,-0.03914127004665633,-0.03879966775341666,0.009525853348000934,0.11107749562939082,-0.2740103962532738,0.034764569075678355,0.1756399528692787,5
C,-0.5,-3.75,2.5,-3.75,-0.03914127004665633,-0.03879966775341666,0.009525853348000934,0.11107749562939082,-0.2740103962532738,0.034764569075678355,0.1756399528692787,5
C,-0.5,-3.75,2.5,-3.5,-0.04440155042455614,-0.04401347634239521,0.008940466022829163,0.1110501446625071,-0.2811619960999128,0.03179827340410582,0.16405892407320288,5
C,-0.5,-3.75,2.75,-4.5,0.05291956236003911,0.05228941401723781,0.02018128704148392,0.1061681808309122,-0.23607758712951205,0.08548582390590291,0.4063725454370226,5
C,-0.5,-3.75,2.75,-4.25,0.05291956236003911,0.05228941401723781,0.02018128704148392,0.1061681808309122,-0.23607758712951205,0.08548582390590291,0.4063725454370226,5
C,-0.5,-3.75,2.75,-4.0,0.05291956236003911,0.05228941401723781,0.02018128704148392,0.1061681808309122,-0.23607758712951205,0.08548582390590291,0.4063725454370226,5
C,-0.5,-3.75,2.75,-3.75,0.05291956236003911,0.05228941401723781,0.02018128704148392,0.1061681808309122,-0.23607758712951205,0.08548582390590291,0.4063725454370226,5
C,-0.5,-3.75,2.75,-3.5,0.0474401701568614,0.04687390799186835,0.019589721017859274,0.10613978205562233,-0.23607758712951205,0.08298001202084619,0.39251860919832904,5
C,-0.5,-3.75,3.0,-4.5,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.0,-4.25,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.0,-4.0,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.0,-3.75,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.0,-3.5,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.25,-4.5,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.25,-4.25,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.25,-4.0,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.25,-3.75,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.75,3.25,-3.5,0.01923278433133883,0.019178376130647615,0.016989732651992773,0.10091158035945966,-0.23607758712951216,0.0719667328803738,0.3331384075339525,3
C,-0.5,-3.5,2.25,-4.5,0.059565492679569225,0.05994497625196775,0.020263766926176263,0.11809237499578654,-0.27401039625327395,0.07395254779839086,0.40831442404008267,7
C,-0.5,-3.5,2.25,-4.25,0.059565492679569225,0.05994497625196775,0.020263766926176263,0.11809237499578654,-0.27401039625327395,0.07395254779839086,0.40831442404008267,7
C,-0.5,-3.5,2.25,-4.0,0.059565492679569225,0.05994497625196775,0.020263766926176263,0.11809237499578654,-0.27401039625327395,0.07395254779839086,0.40831442404008267,7
C,-0.5,-3.5,2.25,-3.75,0.059565492679569225,0.05994497625196775,0.020263766926176263,0.11809237499578654,-0.27401039625327395,0.07395254779839086,0.40831442404008267,7
C,-0.5,-3.5,2.25,-3.5,0.05463976503518138,0.05498866719135935,0.019672153075466214,0.1180668721450273,-0.2811619960999128,0.0699673261263787,0.3944413586862463,7
C,-0.5,-3.5,2.5,-4.5,-0.09564828166770238,-0.0950662630726813,0.0035766991742451903,0.10929876126158501,-0.27401039625327295,0.01305315135174353,0.0628311679488851,5
C,-0.5,-3.5,2.5,-4.25,-0.09564828166770238,-0.0950662630726813,0.0035766991742451903,0.10929876126158501,-0.27401039625327295,0.01305315135174353,0.0628311679488851,5
C,-0.5,-3.5,2.5,-4.0,-0.09564828166770238,-0.0950662630726813,0.0035766991742451903,0.10929876126158501,-0.27401039625327295,0.01305315135174353,0.0628311679488851,5
C,-0.5,-3.5,2.5,-3.75,-0.09564828166770238,-0.0950662630726813,0.0035766991742451903,0.10929876126158501,-0.27401039625327295,0.01305315135174353,0.0628311679488851,5
C,-0.5,-3.5,2.5,-3.5,-0.10100886454317484,-0.10039178318214179,0.0029947615472032396,0.10927083576464076,-0.28116199609991305,0.010651373900969988,0.052361399265583364,5
C,-0.5,-3.5,2.75,-4.5,-0.004679894400972542,-0.004637003748064329,0.01416934020360694,0.10430807639030332,-0.23607758712951205,0.06001984506828108,0.2714237648950304,5
C,-0.5,-3.5,2.75,-4.25,-0.004679894400972542,-0.004637003748064329,0.01416934020360694,0.10430807639030332,-0.23607758712951205,0.06001984506828108,0.2714237648950304,5
C,-0.5,-3.5,2.75,-4.0,-0.004679894400972542,-0.004637003748064329,0.01416934020360694,0.10430807639030332,-0.23607758712951205,0.06001984506828108,0.2714237648950304,5
C,-0.5,-3.5,2.75,-3.75,-0.004679894400972542,-0.004637003748064329,0.01416934020360694,0.10430807639030332,-0.23607758712951205,0.06001984506828108,0.2714237648950304,5
C,-0.5,-3.5,2.75,-3.5,-0.010272775556924138,-0.010178196085044307,0.013581260289294406,0.10427903554998394,-0.23607758712951205,0.05752879997813487,0.25889918609236995,5
C,-0.5,-3.5,3.0,-4.5,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.0,-4.25,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.0,-4.0,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.0,-3.75,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.0,-3.5,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.25,-4.5,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.25,-4.25,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.25,-4.0,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.25,-3.75,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.5,3.25,-3.5,-0.04209840849023202,-0.04207428937681538,0.010996593702050195,0.09895181149812637,-0.23607758712951216,0.04658042229149633,0.2052168244696988,3
C,-0.5,-3.25,2.25,-4.5,0.08575698654391184,0.08663780670853095,0.02349059638038198,0.11601793238368895,-0.23735372708006974,0.0989687276848936,0.48629776913336453,7
C,-0.5,-3.25,2.25,-4.25,0.08575698654391184,0.08663780670853095,0.02349059638038198,0.11601793238368895,-0.23735372708006974,0.0989687276848936,0.48629776913336453,7
C,-0.5,-3.25,2.25,-4.0,0.08575698654391184,0.08663780670853095,0.02349059638038198,0.11601793238368895,-0.23735372708006974,0.0989687276848936,0.48629776913336453,7
C,-0.5,-3.25,2.25,-3.75,0.08575698654391184,0.08663780670853095,0.02349059638038198,0.11601793238368895,-0.23735372708006974,0.0989687276848936,0.48629776913336453,7
