method,k_yc,tl_c,ts_c,tl_s,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
A,0.0,-3.75,2.25,-4.5,0.08262426217155547,0.08297566006636943,0.022986598692879667,0.11964085013324674,-0.2740103962532748,0.08388951297903519,0.4738554259837693,12
A,0.0,-3.75,2.25,-4.25,0.11610090268406013,0.11671879413166478,0.027098896260515648,0.11648399020401712,-0.2390012151194273,0.11338392671758808,0.5783082612841799,16
A,0.0,-3.75,2.25,-4.0,0.11389226447803162,0.11454727128898477,0.026834750574823873,0.11647273679176832,-0.2390012151194273,0.11227872026263436,0.5713948095868915,17
A,0.0,-3.75,2.25,-3.75,0.14152481046745374,0.14300006126461023,0.03010280711805513,0.11489511128493551,-0.23607758712951113,0.1275123466148477,0.6589703671718516,17
A,0.0,-3.75,2.25,-3.5,0.10376174433754072,0.10473256809037969,0.02564734764324883,0.11453592054288353,-0.23607758712951113,0.10863948566696764,0.540667687509125,17
A,0.0,-3.75,2.5,-4.5,0.10930123702140275,0.10969869084815831,0.02625996803641173,0.11932037420903292,-0.2740103962532734,0.0958356631554195,0.5564494862960507,12
A,0.0,-3.75,2.5,-4.25,0.15797770297769753,0.1586040920501969,0.03208869626614752,0.11573759238346336,-0.23607758712951216,0.1359243656135119,0.714410117949805,16
A,0.0,-3.75,2.5,-4.0,0.15575893281733572,0.15644387714408375,0.03182326732122065,0.11572630859190844,-0.23607758712951216,0.13480003632772816,0.7069005003227997,17
A,0.0,-3.75,2.5,-3.75,0.18416824581338828,0.18586123699790452,0.03510720057176542,0.11413787070709776,-0.23607758712951216,0.14871043455940444,0.8020279387907387,17
A,0.0,-3.75,2.5,-3.5,0.1462906137426482,0.14747771121054126,0.030630095808668045,0.11377701589974973,-0.23607758712951216,0.12974588643124507,0.6735236941070382,17
A,0.0,-3.75,2.75,-4.5,0.23305865198351935,0.234041879511331,0.04090371788925107,0.11417021596613738,-0.23607758712951216,0.17326387645097072,0.9822299677247646,12
A,0.0,-3.75,2.75,-4.25,0.30662225480979355,0.30812530008046973,0.04864484738695207,0.10909449216464857,-0.23607758712951216,0.2060544924167897,1.2494423298131068,14
