date,strategy,benchmark_tlt,weight_tlt,net_return,z_final,z_rr,z_yc,regime_hmm,regime_yc
2009-01-02,0.9866619256334314,0.9748638458315878,0.5,-0.013338074366568642,2.8519838593976043,2.3848396563077348,1.1678605077246738,STRESS,BULL_FLAT
2009-01-05,0.9742998161170203,0.9497276916631755,0.5,-0.01252922525461253,1.8319631515733312,1.6936467115523084,0.3457911000525571,STRESS,BULL_STEEP
2009-01-06,0.9696212111786362,0.9401759530791789,0.5,-0.004802017675657744,1.2776474265835007,1.1393309865624779,0.3457911000525571,STRESS,BULL_STEEP
2009-01-07,0.9716101276093065,0.9438625890238794,0.5,0.0020512303234917484,0.9984853649544629,0.8601689249334401,0.3457911000525571,STRESS,BULL_STEEP
2009-01-08,0.9706938085473575,0.9431085043988271,0.5,-0.0009430933621529802,0.4786845081926699,0.34036806817164705,0.3457911000525571,STRESS,BULL_STEEP
2009-01-09,0.9717790098615634,0.9445328864683704,0.5,0.0011179645987747788,0.4837477335874459,0.34543129356642305,0.3457911000525571,STRESS,BULL_STEEP
2009-01-12,0.977086188625739,0.9543359865940512,0.5,0.005461302117373057,0.3644198607243611,0.22610342070333828,0.3457911000525571,STRESS,BULL_STEEP
2009-01-13,0.9776008960121969,0.9553414327607875,0.5,0.0005267778753291763,-0.04922575374533919,-0.18754219376636203,0.3457911000525571,STRESS,BULL_STEEP
2009-01-14,0.9857489605601286,0.9710934227063259,0.5,0.00833475560545105,0.2408440922911526,0.10252765227012978,0.3457911000525571,STRESS,BULL_STEEP
2009-01-15,0.9862444688230675,0.972685379136992,0.5,0.0005026718594330348,0.31668612685847797,0.17836968683745513,0.3457911000525571,STRESS,BULL_STEEP
2009-01-16,0.9786856730344932,0.957687473816506,0.5,-0.007664221222547896,0.7681081058830985,0.30341672290189586,1.1617284574530065,STRESS,BULL_FLAT
2009-01-20,0.9786000487411393,0.9575198994553832,0.5,-8.748906386701893e-05,0.4917183501209361,0.3550444139499942,0.34168484042735486,STRESS,BULL_STEEP
2009-01-21,0.9629661484495202,0.9272727272727271,0.5,-0.015975781231290787,0.8021918958061062,0.6655179596351642,0.34168484042735486,STRESS,BULL_STEEP
2009-01-22,0.9538302731821711,0.9094260578131546,0.5,-0.009487223701538094,0.8416956096352362,0.7050216734642942,0.34168484042735486,STRESS,BULL_STEEP
2009-01-23,0.9502683378460697,0.9023041474654376,0.5,-0.003734349219403632,0.7212234861616239,0.584549549990682,0.34168484042735486,STRESS,BULL_STEEP
2009-01-26,0.9459488251896229,0.8944281524926685,0.5,-0.004545571481669786,0.9931813889195306,0.8565074527485886,0.34168484042735486,STRESS,BULL_STEEP
2009-01-27,0.9571555464248618,0.9154587348135735,0.5,0.011847069246047726,0.5847894175884618,0.4481154814175199,0.34168484042735486,STRESS,BULL_STEEP
2009-01-28,0.9451976723550289,0.8925848345203183,0.5,-0.012493135639758401,-0.5394393497626591,0.29682358625799377,-2.090657340051632,STRESS,BEAR_STEEP
2009-01-29,0.9342645069476139,0.8720569752827817,0.5,-0.011567067638004525,-0.3851926838478164,0.44027886251547593,-2.063678865908231,STRESS,BEAR_STEEP
2009-01-30,0.9327198989958816,0.8692919983242564,0.5,-0.0016532876291948106,-0.29182079295633157,0.5231668607768131,-2.0374691343328615,STRESS,BEAR_STEEP
2009-02-02,0.9400072183739042,0.8830330959363217,0.5,0.007812977278460309,-0.30074832491400605,0.5040475149042619,-2.01198959954567,STRESS,BEAR_STEEP
2009-02-03,0.9286856482034456,0.8620025136154167,0.5,-0.01204413109725222,-0.26987464762094704,0.5250070987640563,-1.9872043659625083,STRESS,BEAR_STEEP
2009-02-04,0.9267660687552154,0.8589861751152073,0.5,-0.0020669851547115425,-0.33774176230783504,0.4474902207802889,-1.9630799577203097,STRESS,BEAR_STEEP
2009-02-05,0.9274671805216249,0.8597402597402596,0.5,0.0007565142812697712,-0.3104844008450489,0.4653496440561897,-1.9395851122530965,STRESS,BEAR_STEEP
2009-02-06,0.9257266249659839,0.8570590699622956,0.5,-0.0018766761694598566,0.16555337017503524,0.9322296081774861,-1.916690595006127,STRESS,BEAR_STEEP
2009-02-09,0.9273878716111713,0.859824046920821,0.5,0.0017945326410465645,-0.04912797726092577,0.7086196358492154,-1.8943690327753528,STRESS,BEAR_STEEP
2009-02-10,0.9375483622004681,0.8785085881860074,0.5,0.01095603134386991,-0.42536906820386783,0.323668837195304,-1.8725947634979294,STRESS,BEAR_STEEP
2009-02-11,0.9435437673240457,0.8899036447423543,0.5,0.006394768915713389,-0.6273290700124743,0.11320841023045242,-1.8513437006073166,STRESS,BEAR_STEEP
2009-02-12,0.939016306922551,0.881524926686217,0.5,-0.004798357594300917,-0.43761919540007665,0.2946180887246703,-1.8305932103118674,STRESS,BEAR_STEEP
2009-02-13,0.9265636734511291,0.8580645161290322,0.5,-0.013261360191105853,-0.31347489637301096,0.418762387751736,-1.8305932103118674,STRESS,BEAR_STEEP
2009-02-17,0.9408264798535894,0.8847926267281107,0.5,0.015393228561763173,-0.4393388964306554,0.27686511120122137,-1.7905100190796919,STRESS,BEAR_STEEP
2009-02-18,0.9370307122384813,0.8772517804775871,0.5,-0.004034503382280119,-0.2418574587537311,0.4665978866375312,-1.7711383634781557,STRESS,BEAR_STEEP
2009-02-19,0.928555555013896,0.8623376623376625,0.5,-0.009044695241993694,-0.39312459181169046,0.3077510864419357,-1.7521891956340654,STRESS,BEAR_STEEP
2009-02-20,0.933235238977762,0.8707163803938,0.5,0.005039745805834772,-0.4335399346623275,0.2673357435912987,-1.7521891956340654,STRESS,BEAR_STEEP
2009-02-23,0.9378846289693257,0.8787599497276918,0.5,0.00498201289168676,-0.5182130549426246,0.1826626233110016,-1.7521891956340654,STRESS,BEAR_STEEP
2009-02-24,0.9373502595210029,0.8778382907415166,0.5,-0.0005697603221304082,-0.6062298530485648,0.08722841348685578,-1.7336456663385513,STRESS,BEAR_STEEP
2009-02-25,0.9317674237444905,0.8677000418935904,0.5,-0.005955976135713914,-0.6495481726058303,0.03664856553585101,-1.7154918453542032,STRESS,BEAR_STEEP
2009-02-26,0.9269061344167315,0.8585672392124005,0.5,-0.0052172776208712635,-0.27088911403033705,0.4081959490062665,-1.6977126575915087,STRESS,BEAR_STEEP
2009-02-27,0.9243217759662118,0.8536237955592795,0.5,-0.002788155514955093,-0.40129098639774985,0.27082654345121393,-1.6802938246224093,STRESS,BEAR_STEEP
2009-03-02,0.9305468514167694,0.8653540008378718,0.5,0.006734749318277666,-0.34672624457467993,0.32539128527428385,-1.6802938246224093,STRESS,BEAR_STEEP
2009-03-03,0.9274384212876178,0.859572685379137,0.5,-0.0033404337722695576,-0.14941033702796092,0.5158783873764234,-1.663221811010961,STRESS,BEAR_STEEP
2009-03-04,0.925398123996559,0.8556346878927524,0.5,-0.002199927503786281,-0.3249784196362387,0.33361509036324327,-1.646483774998705,STRESS,BEAR_STEEP
2009-03-05,0.9382239992428336,0.8794302471721825,0.5,0.013859845739564447,-0.6941721344653777,-0.04214512521224438,-1.6300675231328334,STRESS,BEAR_STEEP
2009-03-06,0.9350953940624317,0.8735651445328865,0.5,-0.00333460365853655,-0.13303391974320355,0.5125506676446243,-1.6139614684695696,STRESS,BEAR_STEEP
2009-03-09,0.9323598857640522,0.8684541265186426,0.5,-0.0029253788605409503,-0.6056648580219166,0.03359697878775231,-1.598154592024172,STRESS,BEAR_STEEP
2009-03-10,0.9234941891549946,0.8517804775869291,0.5,-0.009508878217977301,-0.9198994954435152,-0.2868449325741781,-1.5826364071733428,STRESS,BEAR_STEEP
2009-03-11,0.9284904689507377,0.8609970674486803,0.5,0.005410190832185746,-1.7179811569432069,-1.0910223862447368,-1.5673969267461747,STRESS,BEAR_STEEP
2009-03-12,0.9307884044876651,0.8651026392961876,0.5,0.0024749155901667708,-2.388854383342292,-1.7678837303156445,-1.5524266325666187,STRESS,BEAR_STEEP
2009-03-13,0.928528955791426,0.8607457059069962,0.5,-0.002427456858449639,-2.792671296210048,-2.17758471731635,-1.5377164472342446,STRESS,BEAR_STEEP
2009-03-16,0.9210393303525919,0.8471721826560535,0.5,-0.008066119416222595,-2.582163158495216,-1.9728600753147378,-1.5232577079511955,STRESS,BEAR_STEEP
2009-03-17,0.9185760563421751,0.842563887725178,0.5,-0.002674450405363016,-3.1323137466838498,-2.528696889795045,-1.5090421422220124,STRESS,BEAR_STEEP
2009-03-18,0.9361441324584474,0.8744868035190615,0.5,0.019125336432379347,-3.7223534845962543,-3.124328746488362,-1.4950618452697306,STRESS,BEAR_STEEP
2009-03-19,0.936642260416416,0.8755760368663594,0.5,0.0005321060515119935,-2.244068180953936,-1.6460434428460433,-1.4950618452697306,STRESS,BEAR_STEEP
2009-03-20,0.9363231513422954,0.8707163803937997,0.0,-0.00034069472156719716,-1.742238929992143,-1.1497152263815147,-1.4813092590265708,STRESS,BEAR_STEEP
2009-03-23,0.9364930058822213,0.8631755341432761,0.0,0.0001814058956914888,-1.7497006504640904,-1.157176946853462,-1.4813092590265708,STRESS,BEAR_STEEP
2009-03-24,0.9364080786122583,0.8713866778382908,0.0,-9.068649678056762e-05,-1.9355530208202003,-1.3484421597918506,-1.467777152570874,STRESS,BEAR_STEEP
2009-03-25,0.9364930058822212,0.8596564725596983,0.0,9.069472156708613e-05,-2.290044253461702,-1.708260811904161,-1.4544586038938518,STRESS,BEAR_STEEP
2009-03-26,0.9365779331521843,0.869627147046502,0.0,9.068649678067864e-05,-2.3739032137281053,-1.7973644205719415,-1.4413469828904095,STRESS,BEAR_STEEP
2009-03-27,0.9364080786122583,0.8760787599497278,0.0,-0.00018135654697126746,-2.4039630651525608,-1.832588690961407,-1.4284359354778837,STRESS,BEAR_STEEP
2009-03-30,0.9366628604221474,0.8794302471721828,0.0,0.0002720841647017025,-1.0723580193823885,-1.30090776905885,0.5713743741911536,STRESS,BULL_STEEP
2009-03-31,0.9366628604221474,0.8857142857142858,0.0,0.0,-0.8073037173057394,-1.0358534669822008,0.5713743741911536,STRESS,BULL_STEEP
2009-04-01,0.9360683695324062,0.8912442396313365,0.0,-0.0006346903617735489,-1.3297119120758345,-1.558261661752296,0.5713743741911536,STRESS,BULL_STEEP
2009-04-02,0.9358985149924802,0.8803519061583578,0.0,-0.0001814552712755546,-0.5196054240624939,-0.7481551737389553,0.5713743741911536,STRESS,BULL_STEEP
2009-04-03,0.9360683695324061,0.8623376623376624,0.0,0.00018148820326668869,0.5905416940188426,0.360379372348265,0.575405804176444,STRESS,BULL_STEEP
2009-04-06,0.9358985149924801,0.858651026392962,0.0,-0.0001814552712755546,-0.24418310647381136,0.32241777474665156,-1.4165022030511574,STRESS,BEAR_STEEP
