year,strat_ret,bm_ret,excess,vol,n_events
2009,-0.06401655773755777,-0.2511445094098719,0.1871279516723141,0.0568541408938226,1
2010,0.028182060087947214,0.04739999111567905,-0.019217931027731838,0.03808794199720256,2
2011,0.31472683915887867,0.31472683915887867,0.0,0.20018991497340144,3
2012,-0.008921521388566389,-0.008921521388566389,0.0,0.14041113934130417,4
2013,-0.15943224954612967,-0.15943224954612967,0.0,0.1258107502403615,6
2014,0.20221507689160245,0.23620655802081458,-0.03399148112921213,0.0924088931792409,2
2015,-0.007089374076147514,-0.04240787801778967,0.035318503941642154,0.12323532463545928,7
2016,-0.028940538488765988,-0.012025211477855069,-0.01691532701091092,0.042183039865367755,6
2017,0.06488709812809224,0.06488709812809224,0.0,0.09737323811103078,1
2018,0.018884974289359313,-0.04217247359293741,0.06105744788229672,0.08644986604026939,4
2019,0.11496996132005388,0.11496996132005388,0.0,0.11961000218897645,4
2020,0.2590167579731735,0.16423088278712572,0.09478587518604775,0.08605762020933533,1
2021,0.10730994553152895,-0.058093151505009044,0.165403097036538,0.10115899992410221,3
2022,-0.004528165187464905,-0.3281597948579532,0.3236316296704883,0.005498508574294448,2
2023,0.2059001283406321,-0.006830052229810701,0.2127301805704428,0.11732304053010395,3
2024,-0.001943149551984935,-0.11680825242718507,0.11486510287520013,0.11137687605174894,1
2025,0.07946006380035353,-0.0019466391847020592,0.08140670298505559,0.07070364109598744,2
2026,0.030254511508053472,0.028223955943092127,0.002030555564961345,0.06987995523333486,2
