date,daily_ret,equity,turnover,exposure
2009-11-24,0.0011932494330506448,1.0011932494330507,1.0,1.0
2009-11-25,0.0012246820695688157,1.0024193928538045,0.0,1.0
2009-11-27,0.0014857900424611657,1.0039087776060767,0.0,1.0
2009-11-30,0.0005359243161386122,1.0044467967311808,0.0,1.0
2009-12-01,-0.004379268789916733,1.000048054223124,0.0,1.0
2009-12-02,-0.0005080181553076061,0.9995400116553986,0.0,1.0
2009-12-03,-0.001963747900392957,0.9975771670561515,0.0,1.0
2009-12-04,-0.003092289366553079,0.9944923697901477,0.0,1.0
2009-12-07,0.0011095123269365533,0.9955957713334741,0.0,1.0
2009-12-08,0.0011146326054642481,0.9967054948420647,0.0,1.0
2009-12-09,-0.000982321238840328,0.9957264098656124,0.0,1.0
2009-12-10,-0.0020238457709612816,0.9937112131819715,0.0,1.0
2009-12-11,-0.0010265118650215005,0.9926911568312353,0.0,1.0
2009-12-14,-0.00025309092762320376,0.9924399157055096,0.0,1.0
2009-12-15,-0.001104714974927534,0.9913435524689139,0.0,1.0
2009-12-16,1.9808849654790092e-05,0.991363189844301,0.0,1.0
2009-12-17,0.0037302523830331255,0.995061224745669,0.0,1.0
2009-12-18,-0.0014065469430199055,0.9936616244218854,0.0,1.0
2009-12-21,-0.00401835858629754,0.9896687357015154,0.0,1.0
2009-12-22,-0.0016420260635686902,0.9880436738431945,0.0,1.0
2009-12-23,-0.00016989959198967735,0.9878758056261405,0.0,1.0
2009-12-24,-0.0019546010514926593,0.9859449025377195,0.0,1.0
2009-12-28,-0.0012356311150305823,0.9847266383384381,0.0,1.0
2009-12-29,0.00031965007195622276,0.9850414062792402,0.0,1.0
2009-12-30,0.0009028195715675531,0.9859307209396334,0.0,1.0
2009-12-31,-0.0015037399342388838,0.9844481375421635,0.0,1.0
2010-01-04,0.0004995915188906545,0.9849399594824673,0.0,1.0
2010-01-05,0.0017828828621595243,0.9866959920564847,0.0,1.0
2010-01-06,-0.002068339821125591,0.9846551694447693,0.0,1.0
2010-01-07,0.00019039670656136084,0.9848426445461301,0.0,1.0
2010-01-08,0.000277560701115206,0.9851159981610385,0.0,1.0
2010-01-11,-0.00021235611996041354,0.984906802749958,0.0,1.0
2010-01-12,0.0032774041500003284,0.9881347403926543,0.0,1.0
2010-01-13,-0.002298925777461346,0.9858630919663605,0.0,1.0
2010-01-14,0.002538925618243826,0.9883661250266349,0.0,1.0
2010-01-15,0.0016471234567891173,0.9899940860550621,0.0,1.0
2010-01-19,-0.0005683816845843943,0.9894313915487015,0.0,1.0
2010-01-20,0.0017124273334206896,0.9911257209081339,0.0,1.0
2010-01-21,0.0014052213700669392,0.992518471951577,0.0,1.0
2010-01-22,0.00010327618705271727,0.9926209754749397,0.0,1.0
2010-01-25,-0.0009719515602526329,0.9916561959690873,0.0,1.0
2010-01-26,0.0004111370414617536,0.9920639025636452,0.0,1.0
2010-01-27,-0.0005436122333319274,0.9915246044899646,0.0,1.0
2010-01-28,-2.0674422428706665e-06,0.9915225545701124,0.0,1.0
2010-01-29,0.00188198099659886,0.9933885811755125,0.0,1.0
2010-02-01,-0.002840471785242717,0.9905668889389012,0.0,1.0
2010-02-02,0.00048211777569053904,0.9910444588440692,0.0,1.0
2010-02-03,-0.0020914164657990426,0.9889717721445038,0.0,1.0
2010-02-04,0.003510814221160889,0.9924438683064754,0.0,1.0
2010-02-05,0.0011130910327212546,0.9935485486767666,0.0,1.0
2010-02-08,-0.0001141850624632336,0.9934351002736757,0.0,1.0
2010-02-09,-0.0020947298021908125,0.99135412216259,0.0,1.0
2010-02-10,-0.0018677627659031322,0.9895025078453901,0.0,1.0
2010-02-11,-0.0006629064883735787,0.9888465602126775,0.0,1.0
2010-02-12,0.001101435516409429,0.9899357109343749,0.0,1.0
2010-02-16,0.0005605063041511202,0.9904905761410581,0.0,1.0
2010-02-17,-0.0023896047684073968,0.9881236951372487,0.0,1.0
2010-02-18,-0.0011921182498576017,0.9869457348471589,0.0,1.0
2010-02-19,0.0005441763506469185,0.9874828073754345,0.0,1.0
2010-02-22,-0.0004554912981701392,0.9870330175495824,0.0,1.0
2010-02-23,0.0032190561840828194,0.9902103322886193,0.0,1.0
2010-02-24,0.00038052781640486447,0.9905871348641466,0.0,1.0
2010-02-25,0.001586118379423935,0.9921583233251755,0.0,1.0
2010-02-26,0.0007065818194223289,0.9928593643584256,0.0,1.0
2010-03-01,-0.0006904686150626192,0.9921738261281651,0.0,1.0
2010-03-02,-9.214469391648905e-05,0.9920824025746445,0.0,1.0
2010-03-03,-0.0003532242507248807,0.9917319750113377,0.0,1.0
2010-03-04,0.0007500446488425179,0.9924758182722809,0.0,1.0
2010-03-05,-0.0025293849653604417,0.9899654648590592,0.0,1.0
2010-03-08,-0.0011198089926585679,0.9888568926290886,0.0,1.0
2010-03-09,0.0005560593402188712,0.989406755740375,0.0,1.0
2010-03-10,-0.0006785234246763335,0.9887354200800721,0.0,1.0
2010-03-11,-5.3824222965893746e-05,0.9886822021643674,0.0,1.0
2010-03-12,0.0009164628504995836,0.9895882926736013,0.0,1.0
2010-03-15,-3.6461029503035433e-05,0.9895522112656662,0.0,1.0
2010-03-16,0.0016594240140714032,0.991194297968218,0.0,1.0
2010-03-17,0.0006667727632294006,0.9918551993291715,0.0,1.0
2010-03-18,-0.0009763100687945096,0.9908868411112803,0.0,1.0
2010-03-19,-0.0003333906178218175,0.9905564887351308,0.0,1.0
2010-03-22,0.0008145916742528984,0.9913633878037316,0.0,1.0
2010-03-23,-0.0008963796709650251,0.9904747498163653,0.0,1.0
2010-03-24,-0.00418132048489824,0.9863332574551836,0.0,1.0
2010-03-25,-0.0012732503465400277,0.9850774082933249,0.0,1.0
2010-03-26,0.000868016388062158,0.9859324716272333,0.0,1.0
2010-03-29,-0.0004941308764212619,0.985445291950936,0.0,1.0
2010-03-30,0.0004859146185427933,0.9859241342240691,0.0,1.0
2010-03-31,0.0013305536266847333,0.987235959156497,0.0,1.0
2010-04-01,-0.0018655735780752957,0.9853941978357689,0.0,1.0
2010-04-05,-0.004102875550314342,0.981351248074047,0.0,1.0
2010-04-06,0.0008481206085210794,0.9821835522917365,0.0,1.0
2010-04-07,0.002780168902318299,0.9849141884601865,0.0,1.0
2010-04-08,-9.405116407494822e-05,0.9848215561342479,0.0,1.0
2010-04-09,0.0004239503893504387,0.9852390716164117,0.0,1.0
2010-04-12,0.001260393862940822,0.9864808608958064,0.0,1.0
2010-04-13,0.0005970689210149993,0.9870698579590236,0.0,1.0
2010-04-14,-0.0011775133933903887,0.9859075699810649,0.0,1.0
2010-04-15,0.0006270347588674489,0.9865257682964736,0.0,1.0
2010-04-16,0.002281733309107475,0.9887767570022885,0.0,1.0
2010-04-19,-0.0010108937580275137,0.9877772087505522,0.0,1.0
2010-04-20,0.0004455643800192917,0.9882173270901662,0.0,1.0
2010-04-21,0.0014140378648616492,0.9896147038093841,0.0,1.0
2010-04-22,-0.00089584319627423,0.9887281642100435,0.0,1.0
2010-04-23,-0.0009525981762140187,0.9877863035640455,0.0,1.0
2010-04-26,0.00024287732294085078,0.9880262144570927,0.0,1.0
2010-04-27,0.0036558065290713915,0.9916382471427987,0.0,1.0
2010-04-28,-0.0018742162811744908,0.9897797025949684,0.0,1.0
2010-04-29,0.0008746651314133339,0.9906454283886088,0.0,1.0
2010-04-30,0.0025298080386015514,0.9931515711567502,0.0,1.0
2010-05-03,-0.0019469534952673661,0.9912179512339563,0.0,1.0
2010-05-04,0.0033108767708571805,0.9944997517235534,0.0,1.0
2010-05-05,0.0018525825975368566,0.9963421446568512,0.0,1.0
2010-05-06,0.004911772735902432,1.0012359508386073,0.0,1.0
2010-05-07,-0.0010428200464499921,1.0001918419178464,0.0,1.0
2010-05-10,-0.003979634465049842,0.9962114439920885,0.0,1.0
2010-05-11,7.90968089810076e-05,0.9962902411383786,0.0,1.0
2010-05-12,-0.0013097862373559704,0.9949853138921234,0.0,1.0
2010-05-13,0.0013230627601320314,0.9963017419078123,0.0,1.0
2010-05-14,0.0034163194723066687,0.999705426948985,0.0,1.0
2010-05-17,-0.0008399425144201018,0.9988657318589941,0.0,1.0
2010-05-18,0.00292353695198573,1.0017859527361561,0.0,1.0
2010-05-19,0.0005655391411186221,1.0023525019034512,0.0,1.0
2010-05-20,0.004237204575263605,1.0065996745105434,0.0,1.0
2010-05-21,2.2476858944589886e-05,1.006622299709441,0.0,1.0
2010-05-24,-0.0004465518051198619,1.0061727907044318,0.0,1.0
2010-05-25,0.0009955279754769362,1.0071744638657418,0.0,1.0
2010-05-26,-0.0008489668852901639,1.00631940609821,0.0,1.0
2010-05-27,-0.00436891397214207,1.0019228831844698,0.0,1.0
2010-05-28,0.0016222129317191149,1.0035482154421569,0.0,1.0
2010-06-01,0.00019373433519506977,1.0037426371885116,0.0,1.0
2010-06-02,-0.0021843123015959525,1.0015501497984645,0.0,1.0
2010-06-03,-0.0011275187444826414,1.0004208832310273,0.0,1.0
2010-06-04,0.005931905815933657,1.006355285686647,0.0,1.0
2010-06-07,0.0013909713392668021,1.0077550970461566,0.0,1.0
2010-06-08,-0.0009477031548687743,1.006800044361351,0.0,1.0
2010-06-09,-0.00018616951061211582,1.006612608889808,0.0,1.0
2010-06-10,-0.0038745478980151005,1.0027124401219185,0.0,1.0
2010-06-11,0.002757950320832819,1.0054778712178558,0.0,1.0
2010-06-14,-0.0007223017217235855,1.0047516128203202,0.0,1.0
2010-06-15,-0.001160047886327037,1.0035860528355842,0.0,1.0
2010-06-16,0.0011745505585792054,1.0047648153945246,0.0,1.0
2010-06-17,0.0019169769780571747,1.0066909264139976,0.0,1.0
2010-06-18,-0.0005170822153507967,1.006170384439594,0.0,1.0
2010-06-21,-0.00039437228459866076,1.0057735787263868,0.0,1.0
2010-06-22,0.0024403060597886954,1.0082279740853282,0.0,1.0
2010-06-23,0.0015316624780691832,1.0097722390425745,0.0,1.0
2010-06-24,-0.0006561837105851865,1.0091096429479136,0.0,1.0
2010-06-25,0.0008431137405362987,1.0099604371535906,0.0,1.0
2010-06-28,0.002399795595474435,1.0123841357622752,0.0,1.0
2010-06-29,0.002024180963366494,1.0144333844574995,0.0,1.0
2010-06-30,0.0008420415025874647,1.015287579468823,0.0,1.0
2010-07-01,-0.0010058916997291078,1.0142663101197973,0.0,1.0
2010-07-02,-0.0011471240388911624,1.0131028208536215,0.0,1.0
2010-07-06,0.0014126309589638773,1.014533961262973,0.0,1.0
2010-07-07,-0.0017678206494204417,1.0127404471767139,0.0,1.0
2010-07-08,-0.001056003924135724,1.0116709892903644,0.0,1.0
2010-07-09,-0.0011142870042105467,1.0105436974544613,0.0,1.0
2010-07-12,0.00020148580210222302,1.0107473076619022,0.0,1.0
2010-07-13,-0.001992130615556179,1.008733767005718,0.0,1.0
2010-07-14,0.0023636161058012317,1.0111180263838782,0.0,1.0
2010-07-15,0.002040640379787898,1.0131813546572486,0.0,1.0
2010-07-16,0.0017327297688565614,1.0149369241517137,0.0,1.0
2010-07-19,-0.0011759860725405315,1.013743372464404,0.0,1.0
2010-07-20,0.0004791806477121676,1.0142291386702356,0.0,1.0
