DATE,steep_2s5s,steep_5s10s,steep_10s20s,steep_20s30s,steep_2s10s,steep_2s30s,steep_5s30s,steep_10s30s,flat_10s2s,flat_30s2s,flat_30s5s,flat_30s10s,bfly_2s5s10s_pos,bfly_2s5s10s_neg,bfly_2s10s30s_pos,bfly_2s10s30s_neg,bfly_5s10s30s_pos,bfly_5s10s30s_neg,bh_tlt,bh_shv,bh_ief,bh_50_50,barbell_shy_tlt,barbell_shy_ief,barbell_iei_tlt
2015-12-30,-0.9269551960760662,-0.7929506069174694,-0.1259769373506717,-0.12352274175319723,-0.9373082632239292,-0.6956222729016239,-0.3911221615240092,-0.35114854352264363,0.1865611487919946,0.22837049340395815,0.37216163613404696,-0.05990866850232468,0.09333126613929428,-0.762957161990576,-0.31629793062594863,-0.2745802538697095,-0.3979668670935382,-0.30233295159121404,-0.026713608467437047,-2.127837660576157,-0.1680080410594139,-0.05335107527695576,-0.41194687955793585,-0.5715154661965169,-0.223353050235825
2015-12-31,-1.1428555742595778,-0.8346676031624115,-0.18727863046444046,-0.11170352965625073,-1.084918142067359,-0.8602232391741592,-0.49145660657573337,-0.5027978208171724,0.3429021554865649,0.40747707249811194,0.5046551837235249,0.09852858326797173,0.046962283544095776,-0.7662084878559907,-0.17395547692667157,-0.4154489905516486,-0.22919014318822367,-0.4737772593761795,0.007950952692428685,-2.49012362408593,-0.20186544315761004,-0.019983967897835426,-0.4896012585784725,-0.7233834854410591,-0.23288300392650266
2016-01-04,-0.8703290876696984,-0.8122202407561652,-0.22371444729181894,-0.07016176642848264,-0.901744925304591,-0.6780040178963217,-0.3755213422492822,-0.35254319581192367,0.1429269418573338,0.2365852727852626,0.47535352660557617,0.046125515078062646,0.11198808044988966,-0.852232575984593,-0.19509718257604547,-0.2929232515168345,-0.3025348530692777,-0.32301686762879916,-0.08371772419797352,-2.375817554200529,-0.2751444533496771,-0.1135031948287428,-0.5296328640387594,-0.7245318936510545,-0.3236202769972608
2016-01-05,-0.7561123231637804,-0.6195153612023528,-0.19846610198663253,0.272972535275582,-0.6662983693251366,-0.4047980526190582,-0.19600180934530828,-0.22386260527108454,0.28045206616984875,0.32953710615886384,0.36800821786391835,-0.10970164463637735,-0.0569227506688892,-0.7162750931721055,-0.37194179076965983,-0.1501328328604734,-0.45471464304844583,-0.18427598568548442,-0.07574103096067308,-2.2118828345004675,-0.26945882722050507,-0.11113690342541765,-0.6146076172979962,-0.7968395873191734,-0.326982524951382
2016-01-06,-0.9160696243624312,-0.6090670114732379,-0.2643403278668706,0.3836673211497943,-0.7703410104098831,-0.47611395634033554,-0.18498787178974163,-0.21456164602187688,0.36671804894044235,0.38871969655087646,0.3662442598676331,-0.11915986695179528,-0.11469892740746025,-0.6486898281743125,-0.4053617057189923,-0.11936654539486559,-0.46644857680045676,-0.1735024784399597,-0.0644783291530442,-2.8437679899171826,-0.24812360967054703,-0.1024671440243953,-0.6333198721636135,-0.8089537087047879,-0.30770961413284575
2016-01-07,-1.1867328704536952,-0.6178180440251005,0.007767361732740563,0.19252288809334767,-0.9169715804768817,-0.566191048520618,-0.20031040726701063,-0.2173741493042883,0.5495301085618193,0.5307510453785453,0.3321523948144551,-0.12145852940217908,-0.2701264776967379,-0.5701937177175809,-0.4449685358927275,-0.09328258984912359,-0.4610346733333132,-0.17686082923057483,0.12257125949275563,-2.3845530623703977,-0.029910962705892413,0.08697395074192701,-0.4385272180869673,-0.5863752674747663,-0.08144036677300488
2016-01-08,-1.3232961516633202,-0.6345542133487141,0.2755452496923711,0.02896890062301481,-1.015009724432926,-0.6220396586672271,-0.191449595470546,-0.1824722231020075,0.6576369344992575,0.5943663012473813,0.32483675637031717,-0.14276796041518672,-0.29332717503718786,-0.551409353225495,-0.4892126777459868,-0.05110614652397323,-0.48990418689736553,-0.14957122934303008,0.37858743042995546,-2.0220657901871903,0.2895353665200005,0.34729955198458434,-0.19268193918719456,-0.2878266024990645,0.15501456158335591
2016-01-11,-1.1814839971263786,-0.5593841852574062,0.17760547768892984,0.0959681802390066,-0.9136905286183614,-0.5199185812767787,-0.07210486733307606,-0.04277476007649279,0.4542233355091898,0.3741501937054736,0.19125785124989195,-0.2766116779537061,-0.3508241439492899,-0.4863497850561998,-0.604923802401024,0.10302183236904852,-0.625029870223719,0.008954498588655449,0.19134530182562548,-2.438038484997837,0.14686151295774635,0.152707079143433,-0.23894650173044424,-0.2910375872894643,0.06773025211479003
2016-01-12,-1.27377639665247,-0.6715458543298639,0.22648241844943862,-0.08789286419068432,-1.0323652309803513,-0.6969218346402757,-0.2325697200889418,-0.20466701250678537,0.5250290394683483,0.4893149212506329,0.356868207562445,-0.03833686341824341,-0.2704538607485923,-0.5722690068052965,-0.3506802161069126,-0.053483101443317124,-0.3731164720842593,-0.16444393322589668,0.33083881243040714,-2.229533895782144,0.2505566067702069,0.29515233022979565,-0.19490897263865586,-0.28969809904951654,0.11461119169969891
2016-01-13,-1.2388943839287851,-0.6704835547702264,0.27710795337776745,-0.05702781504815664,-1.0039266112017298,-0.6791968373988221,-0.22361280659274674,-0.17743758710317323,0.5439211469013235,0.49007256282397516,0.35944618722004906,-0.03330979968854156,-0.24593274533886333,-0.5978109136718719,-0.3368948349369648,-0.03608721720357706,-0.3694268778534169,-0.149780620165949,0.37010973554637827,-2.229300206166924,0.3199676059635301,0.3377798589587331,-0.12514680372194759,-0.2030579073502387,0.17622530472815495
2016-01-14,-1.1134188086072208,-0.5323792546846301,0.1852855078203379,0.09992021866411155,-0.8564530459542556,-0.5123729914699593,-0.04531058735289917,0.07102607531534644,0.3769142062275742,0.2420274158529752,0.0821410015871128,-0.2841472994407511,-0.4137834261522994,-0.4503386230176631,-0.5698132315840704,0.253751655325753,-0.608194423913125,0.133358548286066,0.1664403321401772,-1.973735724466872,0.23233579798788026,0.13362970622109033,-0.15992245963705107,-0.14327009062815854,0.12001727246589533
2016-01-15,-1.0989990460165968,-0.4593075519218656,0.26409743966506466,0.18430351419410976,-0.8306631160840974,-0.3792178966470481,0.1369121278502772,0.3141498455182517,0.3868555503408446,0.1267912189504817,-0.14890990652293365,-0.6410457526862771,-0.48597942606396133,-0.35841558517038197,-0.9728151862854157,0.505991040367883,-0.9975864256445288,0.4007147665408924,0.17626954758952287,-1.8052129371105323,0.3427889441008337,0.14075845543744897,-0.14564611055028012,-0.04534546150933713,0.14949600141423217
