,steep_2s5s,steep_5s10s,steep_10s20s,steep_20s30s,steep_2s10s,steep_2s30s,steep_5s30s,steep_10s30s,flat_10s2s,flat_30s2s,flat_30s5s,flat_30s10s,bfly_2s5s10s_pos,bfly_2s5s10s_neg,bfly_2s10s30s_pos,bfly_2s10s30s_neg,bfly_5s10s30s_pos,bfly_5s10s30s_neg,bh_tlt,bh_shv,bh_ief,bh_50_50,barbell_shy_tlt,barbell_shy_ief,barbell_iei_tlt,mean
dd_current,0.37663414195797484,0.07833625786206003,0.07630971663801916,0.1053871054256982,0.32764207530573136,0.0653879703947681,0.14109178017170476,0.27832481610928705,0.0673796411287725,0.029121148111150505,0.12064584680820524,0.21818626720842615,0.2468115116552163,0.10486075370487442,0.2837593032483071,0.33787650731211777,0.297647115459507,0.33951998660147514,0.0101939792257582,0.2911344193023229,0.12594866944100777,0.011846391613608589,0.11019936372163337,0.19461700795740217,0.10774515470767987,0.17386427724290837
level_change_63,0.06386176635620801,0.2675812501353381,0.09442107344886673,0.2972327385636038,0.04521946192334976,0.18836097264244403,0.13718047641892858,0.12503219741447502,0.10191212578281876,0.18524905544803458,0.13082585404998617,0.1965478433671495,0.061754264041847653,0.21008250477249898,0.15162327046732796,0.08077626958255037,0.12723229256331128,0.06920025227364372,0.35130426286160527,0.009048192289607642,0.20078149954458255,0.35312891697543713,0.010830695177133755,0.14829765598821837,0.1767698573665825,0.15137018997822202
slope_2s10s,0.21717245923745931,0.16406200801844792,0.1237536031512579,0.12113741611465396,0.11982783660847822,0.07648947451480084,0.037026369520875346,0.1955137901467537,0.2007096470844245,0.12772135618887154,0.11405330595911002,0.07542583568683767,0.20637815024272832,0.2652660129862411,0.16468064074389008,0.23216573300920024,0.18878952013888972,0.25991760861507496,0.1468131404554463,0.06167239835290387,0.13574539824676776,0.15352388582398763,0.08115456752878909,0.11132542035371927,0.12382019039141284,0.14816583076484086
mkt_mom_63,0.023026514509042563,0.1492442876440837,0.2848459075354597,0.11720116233438096,0.060950499925178016,0.2701905736521425,0.2131143292640259,0.10336616931631645,0.056110039223908004,0.26040987132522114,0.21432543138432,0.1904413351212561,0.1399763861410027,0.0615448419026397,0.12056760863750784,0.03666020045191345,0.10153852624345426,0.02578021050836966,0.1619610447429134,0.02014861033379896,0.12722150572458954,0.19151738188449316,0.30535465986260624,0.08906361343721132,0.3049799077870631,0.14518162475571592
mom_63,0.07650594375289728,0.032338089895195016,0.3658531392124702,0.08692139830614497,0.06100273309740739,0.11162110716768975,0.1422136656794047,0.10443223280874536,0.08511529995366957,0.11081195574781769,0.13056166993860924,0.1119944537617332,0.0352701947177938,0.01967811398840882,0.08821027153855945,0.09755328040532665,0.08805284362786124,0.1048155524980172,0.10500935954109111,0.1258224695898172,0.30252593547752177,0.07486975019813912,0.3268882117365447,0.2195449340657714,0.15880165422844736,0.12665657043740336
curvature,0.15245792391401466,0.2574186235615037,0.016333909265857944,0.11533800046377445,0.27870763649802965,0.1706539602052532,0.19294161597078271,0.11488007906338076,0.3340668308858077,0.14643381946710568,0.15727377558208835,0.10384250230022862,0.029134857036897447,0.1016070737756528,0.09245877747508974,0.09684126908932437,0.1195291418817228,0.10661208771953244,0.05288751828589789,0.04210936142056904,0.032083957629688076,0.05264238867870249,0.016259570737244718,0.010646150643001784,0.03771395454217215,0.11323499144373292
mom_252,0.022381819541354354,0.007100776379976676,0.016728613980639788,0.10070628815130984,0.02437257667593725,0.027688692157446165,0.04126429153877593,0.03777375565189898,0.03585772841847393,0.053920111284061226,0.07664253944410886,0.07186370600528251,0.19690126591039778,0.03989764510716911,0.05651420643117454,0.07610313809016632,0.057612227454504,0.046358867473581006,0.09803625547853029,0.17259238528072884,0.03866962408624329,0.08705434163242382,0.05027658361226609,0.1311243772828604,0.035805909776966315,0.06412990907385108
vol_63,0.046398613390226384,0.01661281633056908,0.01954928364208424,0.03515016144792151,0.07896672204813401,0.08367476094693221,0.04554571450370852,0.00486891256156598,0.10777568666971847,0.08341409042518505,0.014101674549726119,0.008927755706880139,0.04255135588313704,0.1712442647543587,0.021566087692851284,0.0006493436885178303,0.002903718468284491,0.0104568752141103,0.06362070045071032,0.24154891420674315,0.028587770018448155,0.06341678877009263,0.08417062050579738,0.07339505080578294,0.03823013576686666,0.055493112737934114
vix_z,0.021560804062830247,0.027305873211884414,0.002204751538414123,0.020925727216392596,0.0033104470255175683,0.005932483080101224,0.049621750898795614,0.03580804308769536,0.011072987277850832,0.002918587230414711,0.041569897146163326,0.022770297686606204,0.041221995347866434,0.025818758646132662,0.020619830004635166,0.04137425267631516,0.016694609662111053,0.037338552421728434,0.010173738410063082,0.03592322866124611,0.008435638981465453,0.012000153331420474,0.014865724797436147,0.02198578695715523,0.016133234379611523,0.02190348614959413
