date,daily_ret,equity,turnover
2009-11-24,0.004003856883489923,1.00400385688349,1.2000000000000002
2009-11-25,0.0031487843032539133,1.007165248468451,0.0
2009-11-27,0.00352338987340201,1.010713884305747,0.0
2009-11-30,0.0015013178289863325,1.0122312870802594,0.0
2009-12-01,-0.010325366884167624,1.0017796276695226,0.0
2009-12-02,-0.001017985152684208,1.0007598308822934,0.0
2009-12-03,-0.005321180072223287,0.995434607613121,0.0
2009-12-04,-0.0075665473119210245,0.9879026045586927,0.0
2009-12-07,0.002305053306995792,0.9901797727243205,0.0
2009-12-08,0.0025621693947048504,0.9927167810332506,0.0
2009-12-09,-0.0025161704940271255,0.9902189363598891,0.0
2009-12-10,-0.005400075953475803,0.9848716788929757,0.0
2009-12-11,-0.0024537078390646505,0.9824550915340032,0.0
2009-12-14,-0.0002414069762120857,0.9822179200210918,0.0
2009-12-15,-0.0028382113896227323,0.9794301779333964,0.0
2009-12-16,-0.00013704370497258982,0.9792959531930504,0.0
2009-12-17,0.009749717149041937,0.9888438117418841,0.0
2009-12-18,-0.003741397913754033,0.9851441535676044,0.0
2009-12-21,-0.01050606307550175,0.9747941669517615,0.0
2009-12-22,-0.0041428392982093085,0.9707557513692484,0.0
2009-12-23,-0.0002970383621333836,0.9704673996708302,0.0
2009-12-24,-0.005162491004847452,0.9654573704495318,0.0
2009-12-28,-0.00264231131884809,0.9629063315117278,0.0
2009-12-29,0.0010278099800306952,0.9638960162490903,0.0
2009-12-30,0.0026376328789440556,0.9664384200734322,0.0
2009-12-31,-0.003885716779994187,0.9626831140877218,0.0
2010-01-04,0.0011319533403273648,0.9637728264543901,0.0
2010-01-05,0.004348056353241229,0.9679633650155364,0.0
2010-01-06,-0.005811608903320407,0.9623379405053241,0.0
2010-01-07,0.0005473508376223557,0.9628646769831354,0.0
2010-01-08,0.0005983456284160897,0.9634408028533644,0.0
2010-01-11,-0.0010026959157390827,0.9624747646952869,0.0
2010-01-12,0.008866255174274413,0.971008311557875,0.0
2010-01-13,-0.006177610787578585,0.9650098001375667,0.0
2010-01-14,0.00676385540130082,0.9715369868865353,0.0
2010-01-15,0.004185291574286943,0.9756031524518598,0.0
2010-01-19,-0.00156248813025746,0.974078784106312,0.0
2010-01-20,0.004722535009782137,0.9786789052665401,0.0
2010-01-21,0.0034328176256955005,0.9820385314624355,0.0
2010-01-22,4.2983985798090475e-05,0.982080743392725,0.0
2010-01-25,-0.002505200424419389,0.9796204342975634,0.0
2010-01-26,0.001042539987619356,0.9806417277730076,0.0
2010-01-27,-0.0014253599629682578,0.979243960316224,0.0
2010-01-28,-7.172476208227133e-05,0.9791737242761498,0.0
2010-01-29,0.004911087561735838,0.9839825321742208,0.0
