combo_id,k,strategies,method,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret
280,2,bh_tlt+bh_ief,equal_weight,-0.03138975396541326,-0.030474481746435914,-0.009040977415205376,0.2117936565829077,-0.6648623498099065,-0.013598269503138985,-0.13683685708010573
280,2,bh_tlt+bh_ief,min_variance,-0.06446436065138998,-0.06311011532175617,0.0026342484110435382,0.13274900870045636,-0.48834772459058223,0.005394206378768371,0.04354646910110138
280,2,bh_tlt+bh_ief,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
280,2,bh_tlt+bh_ief,risk_parity,-0.041089203858389996,-0.039889385048235484,-0.0035201692734369017,0.17967203824313102,-0.6040341952718512,-0.005827764886477357,-0.05553414721194916
284,2,bh_tlt+barbell_iei_tlt,equal_weight,-0.03513916120673809,-0.03422282185252883,-0.008043069779740342,0.2044051836869787,-0.6509076606141533,-0.012356698601690192,-0.12264517739100267
284,2,bh_tlt+barbell_iei_tlt,min_variance,-0.08467400119205645,-0.08250383427550056,0.0039193594877215965,0.11368934591688105,-0.44679685071460107,0.008772128723497098,0.06543038432498349
284,2,bh_tlt+barbell_iei_tlt,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
284,2,bh_tlt+barbell_iei_tlt,risk_parity,-0.050872898773007644,-0.049512436345622406,-0.0015146809205706102,0.16271623091040893,-0.56890950653837,-0.0026624285640557367,-0.024260898469352088
281,2,bh_tlt+bh_50_50,equal_weight,-0.037824948283350646,-0.03688006579205925,-0.013752152585715494,0.22506935887018054,-0.6805586292155223,-0.02020715335219179,-0.20097569872694088
281,2,bh_tlt+bh_50_50,min_variance,-0.08164042465337878,-0.07948834371271916,-0.0036086559357987325,0.15051063481921328,-0.5196645227334616,-0.006944202996227297,-0.05689208941360269
281,2,bh_tlt+bh_50_50,max_sharpe,-0.015810708632839288,-0.01543852072407512,-0.02924358735748178,0.2997159491775757,-0.7954503403493279,-0.03676356131124319,-0.3817620599233772
281,2,bh_tlt+bh_50_50,risk_parity,-0.04869478159834821,-0.04745596439012467,-0.009800942840772708,0.20042966930829395,-0.6332223691938513,-0.015477884733052285,-0.1474998722481602
2573,3,bh_tlt+bh_ief+barbell_iei_tlt,equal_weight,-0.042841731986934334,-0.04165651761463775,-0.0035410410015700444,0.1783528374532621,-0.6020328501072855,-0.005881806949469638,-0.05585461608510778
2573,3,bh_tlt+bh_ief+barbell_iei_tlt,min_variance,-0.08467400119205643,-0.08250383427550054,0.0039193594877215965,0.11368934591688105,-0.44679685071460107,0.008772128723497098,0.06543038432498349
