combo_id,k,strategies,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,hit_rate,n_days
280,2,bh_tlt+bh_ief,-0.03138975396541326,-0.04399555498942605,-0.009040977415205376,0.2117936565829077,-0.6648623497799593,-0.013598269503751488,-0.13683685708010573,0.5221650746999755,4083
284,2,bh_tlt+barbell_iei_tlt,-0.03513916120673809,-0.04929387499078865,-0.008043069779740342,0.2044051836869787,-0.6509076605844083,-0.012356698602254865,-0.12264517739100267,0.5202057310800882,4083
281,2,bh_tlt+bh_50_50,-0.037824948283350646,-0.05305396351540416,-0.013752152585715494,0.22506935887018054,-0.6805586291853626,-0.020207153353087298,-0.20097569872694088,0.5192260592701445,4083
2573,3,bh_tlt+bh_ief+barbell_iei_tlt,-0.042841731986934334,-0.060031734863118046,-0.0035410410015700444,0.1783528374532621,-0.6020328500778299,-0.005881806949757416,-0.05585461608510778,0.520940484937546,4083
2570,3,bh_tlt+bh_ief+bh_50_50,-0.0446413927385477,-0.06252550109451091,-0.006755457918961483,0.19103386738226308,-0.6212559711622522,-0.010873872014981686,-0.10400987194695233,0.5216752387950037,4083
2576,3,bh_tlt+bh_50_50+barbell_iei_tlt,-0.04769241320616871,-0.06684344722482123,-0.006217289702114881,0.18628403530820076,-0.6110561011571829,-0.010174662670646664,-0.09611157447848317,0.5219201567474896,4083
15227,4,bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.05148597202999913,-0.07209987827605124,-0.0034138214018852864,0.17097174309319857,-0.5825171058583318,-0.005860465499729939,-0.05389967426993447,0.5214303208425177,4083
62,2,steep_10s20s+bh_tlt,-0.054561353622456225,-0.07645168878621984,-0.005201997004258607,0.1765324824597557,-0.5779263443111778,-0.00900114185045292,-0.08103268666201335,0.5216752387950037,4083
1040,3,steep_10s20s+bh_tlt+bh_ief,-0.05810385210429131,-0.08132699957698714,-0.002010296134045575,0.15960664319595175,-0.5489375347286635,-0.0036621582727791647,-0.03207857449459228,0.5226549106049474,4083
1044,3,steep_10s20s+bh_tlt+barbell_iei_tlt,-0.0623892517528143,-0.08737711370185963,-0.0015418831099551777,0.15435476150236224,-0.5370102070969016,-0.002871236132159682,-0.024691509144273094,0.5226549106049474,4083
1041,3,steep_10s20s+bh_tlt+bh_50_50,-0.06269878778068241,-0.08780122582532095,-0.00457655490119202,0.1677409067726129,-0.5591480298867121,-0.008184871727294233,-0.0716266253064608,0.5211854028900318,4083
7908,4,steep_10s20s+bh_tlt+bh_ief+barbell_iei_tlt,-0.06342467081175697,-0.08877854686423949,-0.00025638674428318797,0.14760744404787549,-0.5248487993840275,-0.00048849639093028,-0.004145989872443634,0.5226549106049474,4083
7905,4,steep_10s20s+bh_tlt+bh_ief+bh_50_50,-0.06389326632578665,-0.08939693717963615,-0.002340528422828947,0.15693764312411143,-0.5416215972462115,-0.004321335106888259,-0.03725488607207594,0.5233896644624051,4083
7911,4,steep_10s20s+bh_tlt+bh_50_50+barbell_iei_tlt,-0.06720741813623933,-0.09408255637585448,-0.0020241738078672356,0.15317500473333345,-0.532628097392925,-0.0038003511601716767,-0.03229662829152746,0.5219201567474896,4083
42023,5,steep_10s20s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.06732070603505341,-0.09419466967577153,-0.0008634216956321383,0.14775711444624534,-0.5236505513749865,-0.0016488509242757227,-0.013898047996700025,0.5219201567474896,4083
173,2,flat_10s2s+bh_tlt,-0.06798075904676373,-0.09526627571700753,-0.002770429122974538,0.15600522338595244,-0.5233942647355146,-0.005293197326826864,-0.0439545660596512,0.5204506490325741,4083
2020,3,flat_10s2s+bh_tlt+bh_ief,-0.06836107541043072,-0.09564158184925894,-0.000457887311616334,0.14515222679861958,-0.5108721041633595,-0.0008962856023744003,-0.007393099269866865,0.5246142542248347,4083
188,2,flat_30s2s+bh_tlt,-0.06922691805233586,-0.09707169317843384,-0.003404766006759097,0.15796016895305862,-0.5225967345304942,-0.006515092387283994,-0.053760378293333244,0.52069556698506,4083
2572,3,bh_tlt+bh_ief+barbell_shy_ief,-0.06943187884020997,-0.09712961080143703,-0.0026782105790467137,0.15458152211811754,-0.548831182970623,-0.004879844043391515,-0.0425211053848209,0.5202057310800882,4083
2125,3,flat_30s2s+bh_tlt+bh_ief,-0.06954635220131135,-0.09732112012452075,-0.0007773552299069619,0.14583928724241682,-0.5096163746691293,-0.0015253733367803638,-0.012520857062101709,0.5233896644624051,4083
1764,3,steep_5s30s+bh_tlt+bh_ief,-0.06969203368357013,-0.09753291220601011,0.0006587384004208552,0.13896958554161806,-0.5093156394489982,0.0012933794869003231,0.010726739994565415,0.5214303208425177,4083
2496,3,bfly_2s10s30s_neg+bh_tlt+bh_ief,-0.06982409346036385,-0.09765331807826251,-9.246112497540704e-05,0.14244637011472297,-0.5122133723756848,-0.00018051290724130313,-0.0014970379510474974,0.5214303208425177,4083
283,2,bh_tlt+barbell_shy_ief,-0.07005260535095825,-0.0980649403496475,-0.006039958029819159,0.168738025228038,-0.577480121663833,-0.01045916180182421,-0.09349473130009656,0.5211854028900318,4083
1900,3,steep_10s30s+bh_tlt+bh_ief,-0.0702765304274139,-0.09828323614772891,1.1172163617123587e-05,0.1416546449092681,-0.5128019592615888,2.1786507277021696e-05,0.00018103102396316295,0.5216752387950037,4083
2571,3,bh_tlt+bh_ief+barbell_shy_tlt,-0.07076595941061119,-0.09900105621192302,-0.0032643244679514405,0.1562686778045731,-0.5523324060626413,-0.005910072326231073,-0.051597550179431906,0.5187362233651727,4083
140,2,steep_5s30s+bh_tlt,-0.07090428068834251,-0.09929698650237079,-0.0006947524241711633,0.1445444403588609,-0.5201522862551994,-0.001335671191936857,-0.0111973927954937,0.52069556698506,4083
257,2,bfly_2s10s30s_neg+bh_tlt,-0.07091555650125575,-0.09923904753257809,-0.0018960216817275333,0.1500445534314444,-0.5246151377863396,-0.0036141192755664007,-0.030281276589001815,0.5233896644624051,4083
282,2,bh_tlt+barbell_shy_tlt,-0.07163395781981871,-0.10030103473429833,-0.007048475630812789,0.1718314156907097,-0.5833270889171873,-0.012083230428911958,-0.10828300230318899,0.5202057310800882,4083
157,2,steep_10s30s+bh_tlt,-0.07186041109738799,-0.10052725939902026,-0.0016429863327551697,0.14825555960803538,-0.5252604627352688,-0.003127945941713177,-0.026290410794188923,0.5221650746999755,4083
13400,4,flat_10s2s+bh_tlt+bh_ief+bh_50_50,-0.07189783882314825,-0.10057157211497424,-0.0012063335183836177,0.146235407747466,-0.5129810201832472,-0.0023516143305900303,-0.019367271071904946,0.5233896644624051,4083
13403,4,flat_10s2s+bh_tlt+bh_ief+barbell_iei_tlt,-0.0720863247601073,-0.1008625305187381,0.0008184825457555611,0.13662375946655417,-0.49522286103754737,0.0016527559815004268,0.013344191380162851,0.5221650746999755,4083
2021,3,flat_10s2s+bh_tlt+bh_50_50,-0.07247071014835096,-0.10149320246760522,-0.003031840175481637,0.15407815136405367,-0.5220802052160042,-0.005807230661479017,-0.048007047404541536,0.5197158951751163,4083
15230,4,bh_tlt+bh_ief+barbell_shy_ief+barbell_iei_tlt,-0.0726215604068227,-0.10161335175819865,-0.0008219226391804613,0.14398337120620006,-0.5248569972123869,-0.0015659934868847043,-0.013234226763390922,0.5199608131276022,4083
15226,4,bh_tlt+bh_ief+bh_50_50+barbell_shy_ief,-0.07262595402379758,-0.10156820546060295,-0.002843941020142182,0.15313536765782723,-0.5415109260400751,-0.005251862674201542,-0.045095804842779086,0.5199608131276022,4083
13855,4,flat_30s2s+bh_tlt+bh_ief+bh_50_50,-0.07272738488721205,-0.10175361507150761,-0.00145852762018861,0.1468343853969565,-0.5120699633092907,-0.002848297546614071,-0.023371427428438785,0.5226549106049474,4083
12163,4,steep_5s30s+bh_tlt+bh_ief+barbell_iei_tlt,-0.07301578102817015,-0.10220662753311417,0.0015604074583264183,0.13244311838587894,-0.4942159790629068,0.0031573391481294053,0.025584415136639116,0.5224099926524615,4083
13858,4,flat_30s2s+bh_tlt+bh_ief+barbell_iei_tlt,-0.0730937393784651,-0.10228084294034191,0.0006025585175826187,0.13699635378755398,-0.49419285869037427,0.0012192780753235014,0.009807726041946907,0.5224099926524615,4083
15097,4,bfly_2s10s30s_neg+bh_tlt+bh_ief+barbell_iei_tlt,-0.07314877769272177,-0.10233450502206673,0.0010378111160427306,0.1348795531445428,-0.49638543997360407,0.0020907364166400963,0.016948311903919988,0.5219201567474896,4083
15094,4,bfly_2s10s30s_neg+bh_tlt+bh_ief+bh_50_50,-0.07318038923350294,-0.10231910506729788,-0.0008874378053530529,0.14391259242858423,-0.5138793994268382,-0.001726937889206821,-0.014282019602720908,0.5221650746999755,4083
12160,4,steep_5s30s+bh_tlt+bh_ief+bh_50_50,-0.07319858858562119,-0.1023859988539028,-0.00030495808335717633,0.14120139488323563,-0.5116580862256308,-0.0005960192784341065,-0.004929609993247652,0.5204506490325741,4083
2126,3,flat_30s2s+bh_tlt+bh_50_50,-0.07330551531890449,-0.10270533731601582,-0.003442582098588498,0.15532229890068172,-0.5210575098827336,-0.00660691388818725,-0.05434196242376532,0.5211854028900318,4083
2024,3,flat_10s2s+bh_tlt+barbell_iei_tlt,-0.07333480982773671,-0.10268693123130197,-0.0001020671892741909,0.1401664452218766,-0.49819162276559464,-0.00020487536243100335,-0.00165244908505624,0.5226549106049474,4083
2415,3,bfly_2s5s10s_neg+bh_tlt+bh_ief,-0.07339637237676547,-0.10269850164282267,-0.00021632229185308827,0.1406581536862828,-0.5071301594922639,-0.00042656167810975595,-0.0034991788880490704,0.5216752387950037,4083
12843,4,steep_10s30s+bh_tlt+bh_ief+barbell_iei_tlt,-0.07348102093273323,-0.1027999533122753,0.0011012586771381727,0.1343596013001915,-0.49687135910979535,0.00221638590542069,0.017993155812281225,0.5204506490325741,4083
15225,4,bh_tlt+bh_ief+bh_50_50+barbell_shy_tlt,-0.0735645025824876,-0.10288970213498401,-0.00329686504812976,0.15450135349327818,-0.5442101697274632,-0.006058073206865664,-0.05209909416311009,0.5202057310800882,4083
12840,4,steep_10s30s+bh_tlt+bh_ief+bh_50_50,-0.07360997670455477,-0.10290849084642927,-0.0007865063123658755,0.14316246558612084,-0.514264570844191,-0.0015293807058782722,-0.01266737363080317,0.5219201567474896,4083
2575,3,bh_tlt+bh_50_50+barbell_shy_ief,-0.07367569872779367,-0.10309881799477064,-0.005175937046336565,0.1625539553306619,-0.5588555645583433,-0.009261672200449583,-0.08064256129636427,0.52069556698506,4083
15229,4,bh_tlt+bh_ief+barbell_shy_tlt+barbell_iei_tlt,-0.07370416457429324,-0.1031288167891072,-0.0012389876125967758,0.14518189302225526,-0.5275825627437414,-0.0023484241142340025,-0.019886595990333045,0.5189811413176586,4083
2545,3,bfly_5s10s30s_neg+bh_tlt+bh_ief,-0.07385178511479186,-0.10325732010903106,-0.000574516021729421,0.14202230536629934,-0.5113192874937307,-0.001123595443749939,-0.009267987407638012,0.5211854028900318,4083
293,2,bh_ief+barbell_iei_tlt,-0.07416670315085098,-0.10386793998476766,0.0033999371937671885,0.12258945733897318,-0.46775342223353994,0.00726865273915552,0.056533898317567166,0.5202057310800882,4083
2579,3,bh_tlt+barbell_shy_ief+barbell_iei_tlt,-0.07420976133755186,-0.10387424711857933,-0.0022515552377105896,0.14943051422729325,-0.5369162003450005,-0.004193494694821709,-0.0358628150338034,0.5194709772226305,4083
63989,5,flat_10s2s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.07432029862906196,-0.10396104506599031,-8.45599961096788e-06,0.13908063307311713,-0.5000620114921224,-1.690990200542576e-05,-0.00013699852114557043,0.5226549106049474,4083
2129,3,flat_30s2s+bh_tlt+barbell_iei_tlt,-0.07442339933110649,-0.10424369549421893,-0.0004486880156240325,0.1410699835302796,-0.49696611265942875,-0.0009028543480016286,-0.0072450725867130306,0.5231447465099192,4083
2497,3,bfly_2s10s30s_neg+bh_tlt+bh_50_50,-0.07458171296408536,-0.10434185508103165,-0.0024419306214318315,0.15003113953504107,-0.5228806771076341,-0.004670148904602119,-0.038839121444686486,0.5224099926524615,4083
2574,3,bh_tlt+bh_50_50+barbell_shy_tlt,-0.07470851170306332,-0.10456392563660812,-0.005843236818725672,0.1646652216196514,-0.5629425852675111,-0.01037980954300865,-0.09058344504772853,0.5202057310800882,4083
1765,3,steep_5s30s+bh_tlt+bh_50_50,-0.0747169255684325,-0.10457092796768591,-0.001623839877958666,0.14626490152651866,-0.5198484986046562,-0.0031236790763410345,-0.025987807191572676,0.5204506490325741,4083
68371,5,bh_tlt+bh_ief+bh_50_50+barbell_shy_ief+barbell_iei_tlt,-0.07473692879967116,-0.10453523920467625,-0.0013070870587943428,0.14480910940777117,-0.5236226503494645,-0.0024962385754741436,-0.020968807368289766,0.5194709772226305,4083
65354,5,flat_30s2s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.07506399111635377,-0.10501338232079639,-0.0001930696644022456,0.13945982481987818,-0.4992726412634679,-0.000386701870772771,-0.0031236016446426484,0.5226549106049474,4083
1768,3,steep_5s30s+bh_tlt+barbell_iei_tlt,-0.07511042817583133,-0.10518193296754719,0.0010234381782188162,0.13368836474676404,-0.4964937166593274,0.0020613315816060073,0.016711760578192125,0.5202057310800882,4083
2500,3,bfly_2s10s30s_neg+bh_tlt+barbell_iei_tlt,-0.07519442467297724,-0.10522703513041465,0.0003115193871017219,0.13701156683570803,-0.49944145719525457,0.0006237355401995287,0.005059325153700778,0.5202057310800882,4083
59789,5,steep_5s30s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.07529413166433194,-0.10533662946176553,0.0006413817075892059,0.13538771729663723,-0.4991274303788056,0.0012850059294526018,0.01044272823552106,0.5199608131276022,4083
1901,3,steep_10s30s+bh_tlt+bh_50_50,-0.07530421564506849,-0.10532036315451457,-0.002253766729262141,0.14870864255462699,-0.5232648076103837,-0.004307124607814762,-0.035897438821840266,0.5216752387950037,4083
68231,5,bfly_2s10s30s_neg+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.07531091203122552,-0.10531967161026975,0.00020451926435960388,0.1374378520569103,-0.5008956632668942,0.0004083071173459713,0.0033188554673500015,0.5214303208425177,4083
238,2,bfly_2s5s10s_neg+bh_tlt,-0.07531269114482132,-0.10552627397477697,-0.0022752066938290794,0.1488050312165741,-0.517551729751437,-0.0043960952365511095,-0.036233048987375005,0.52069556698506,4083
290,2,bh_ief+bh_50_50,-0.0753665705684817,-0.10530109514588132,1.3874084453746605e-05,0.13829295898681745,-0.5031224988224071,2.7575957120223913e-05,0.00022481690983444658,0.5202057310800882,4083
2578,3,bh_tlt+barbell_shy_tlt+barbell_iei_tlt,-0.07544875119567286,-0.10561882044022858,-0.0028555374381560306,0.1512923675029443,-0.5405388615951158,-0.00528276066910234,-0.045275717194112275,0.52069556698506,4083
68370,5,bh_tlt+bh_ief+bh_50_50+barbell_shy_tlt+barbell_iei_tlt,-0.07554414119023387,-0.10566908223532884,-0.0016529053180763809,0.14584795542533457,-0.525835580936969,-0.0031433881197828486,-0.02644714250087088,0.5197158951751163,4083
13406,4,flat_10s2s+bh_tlt+bh_50_50+barbell_iei_tlt,-0.07558528209162192,-0.10579919667918977,-0.0009533081509250918,0.14263686580235135,-0.5035665871291748,-0.0018931124012017688,-0.015334440376469916,0.5219201567474896,4083
62169,5,steep_10s30s+bh_tlt+bh_ief+bh_50_50+barbell_iei_tlt,-0.07564314952643461,-0.10577827934639836,0.0002724381283147892,0.1369040690750919,-0.5012401617809782,0.0005435281309996738,0.004423299194329378,0.52069556698506,4083
14890,4,bfly_2s5s10s_neg+bh_tlt+bh_ief+bh_50_50,-0.07571830613656616,-0.10591737272453522,-0.0010146927344786283,0.14282922130613868,-0.5101561190037643,-0.0019889847375743055,-0.016314242312244653,0.5221650746999755,4083
