DATE,mode
2010-12-03,MOM_TF
2010-12-06,MOM_TF
2010-12-07,MOM_TF
2010-12-08,MOM_TF
2010-12-09,MOM_TF
2010-12-10,MOM_TF
2010-12-13,MOM_TF
2010-12-14,MOM_TF
2010-12-15,MOM_TF
2010-12-16,MOM_TF
2010-12-17,MOM_TF
2010-12-20,MOM_TF
2010-12-21,MOM_TF
2010-12-22,MOM_TF
2010-12-23,MOM_TF
2010-12-27,MOM_TF
2010-12-28,MOM_TF
2010-12-29,MOM_TF
2010-12-30,MOM_TF
2010-12-31,MOM_TF
2011-01-03,MOM_TF
2011-01-04,MOM_TF
2011-01-05,MOM_TF
2011-01-06,MOM_TF
2011-01-07,MOM_TF
2011-01-10,MOM_TF
2011-01-11,MOM_TF
2011-01-12,MOM_TF
2011-01-13,MOM_TF
2011-01-14,MOM_TF
2011-01-18,MOM_TF
2011-01-19,MOM_TF
2011-01-20,MOM_TF
2011-01-21,MOM_TF
2011-01-24,MOM_TF
2011-01-25,MOM_TF
2011-01-26,FLAT
2011-01-27,FLAT
2011-01-28,FLAT
2011-01-31,FLAT
2011-02-01,FLAT
2011-02-02,FLAT
2011-02-03,FLAT
2011-02-04,FLAT
2011-02-07,FLAT
2011-02-08,FLAT
2011-02-09,FLAT
2011-02-10,FLAT
2011-02-11,FLAT
2011-02-14,FLAT
2011-02-15,FLAT
2011-02-16,FLAT
2011-02-17,FLAT
2011-02-18,FLAT
2011-02-22,FLAT
2011-02-23,FLAT
2011-02-24,FLAT
2011-02-25,MOM_TF
2011-02-28,MOM_TF
2011-03-01,MOM_TF
2011-03-02,MOM_TF
2011-03-03,MOM_TF
2011-03-04,MOM_TF
2011-03-07,MOM_TF
2011-03-08,MOM_TF
2011-03-09,MOM_TF
2011-03-10,MOM_TF
2011-03-11,MOM_TF
2011-03-14,MOM_TF
2011-03-15,MOM_TF
2011-03-16,MOM_TF
2011-03-17,MOM_TF
2011-03-18,MOM_TF
2011-03-21,MOM_TF
2011-03-22,MOM_TF
2011-03-23,MOM_TF
2011-03-24,MOM_TF
2011-03-25,MOM_TF
2011-03-28,MOM_TF
2011-03-29,MOM_TF
2011-03-30,MOM_TF
2011-03-31,MOM_TF
2011-04-01,MOM_TF
2011-04-04,MOM_TF
2011-04-05,MOM_TF
2011-04-06,MOM_TF
2011-04-07,MOM_TF
2011-04-08,MOM_TF
2011-04-11,MOM_TF
2011-04-12,MOM_TF
2011-04-13,MOM_TF
2011-04-14,MOM_TF
2011-04-15,MOM_TF
2011-04-18,MOM_TF
2011-04-19,MOM_TF
2011-04-20,MOM_TF
2011-04-21,MOM_TF
2011-04-25,MOM_TF
2011-04-26,MOM_TF
2011-04-27,BLEND_MR
2011-04-28,BLEND_MR
2011-04-29,BLEND_MR
2011-05-02,BLEND_MR
2011-05-03,BLEND_MR
2011-05-04,BLEND_MR
2011-05-05,BLEND_MR
2011-05-06,BLEND_MR
2011-05-09,BLEND_MR
2011-05-10,BLEND_MR
2011-05-11,BLEND_MR
2011-05-12,BLEND_MR
2011-05-13,BLEND_MR
2011-05-16,BLEND_MR
2011-05-17,BLEND_MR
2011-05-18,BLEND_MR
2011-05-19,BLEND_MR
2011-05-20,BLEND_MR
2011-05-23,BLEND_MR
2011-05-24,BLEND_MR
2011-05-25,BLEND_MR
2011-05-26,BLEND_MR
2011-05-27,BLEND_MR
2011-05-31,BLEND_MR
2011-06-01,BLEND_MR
2011-06-02,BLEND_MR
2011-06-03,BLEND_MR
2011-06-06,BLEND_MR
2011-06-07,BLEND_MR
2011-06-08,BLEND_MR
2011-06-09,BLEND_MR
2011-06-10,BLEND_MR
2011-06-13,BLEND_MR
2011-06-14,BLEND_MR
2011-06-15,BLEND_MR
2011-06-16,BLEND_MR
2011-06-17,BLEND_MR
2011-06-20,BLEND_MR
2011-06-21,BLEND_MR
2011-06-22,BLEND_MR
2011-06-23,BLEND_MR
2011-06-24,BLEND_MR
2011-06-27,FLAT
2011-06-28,FLAT
2011-06-29,FLAT
2011-06-30,FLAT
2011-07-01,FLAT
2011-07-05,FLAT
2011-07-06,FLAT
2011-07-07,FLAT
2011-07-08,FLAT
2011-07-11,FLAT
2011-07-12,FLAT
2011-07-13,FLAT
2011-07-14,FLAT
2011-07-15,FLAT
2011-07-18,FLAT
2011-07-19,FLAT
2011-07-20,FLAT
2011-07-21,FLAT
2011-07-22,FLAT
2011-07-25,FLAT
2011-07-26,FLAT
2011-07-27,FLAT
2011-07-28,FLAT
2011-07-29,FLAT
2011-08-01,FLAT
2011-08-02,FLAT
2011-08-03,FLAT
2011-08-04,FLAT
2011-08-05,FLAT
2011-08-08,FLAT
2011-08-09,FLAT
2011-08-10,FLAT
2011-08-11,FLAT
2011-08-12,FLAT
2011-08-15,FLAT
2011-08-16,FLAT
2011-08-17,FLAT
2011-08-18,FLAT
2011-08-19,FLAT
2011-08-22,FLAT
2011-08-23,FLAT
2011-08-24,FLAT
2011-08-25,FLAT
2011-08-26,FLAT
2011-08-29,FLAT
2011-08-30,FLAT
2011-08-31,FLAT
2011-09-01,FLAT
2011-09-02,FLAT
2011-09-06,FLAT
2011-09-07,FLAT
2011-09-08,FLAT
2011-09-09,FLAT
2011-09-12,FLAT
2011-09-13,FLAT
2011-09-14,FLAT
2011-09-15,FLAT
2011-09-16,FLAT
2011-09-19,FLAT
2011-09-20,FLAT
2011-09-21,FLAT
2011-09-22,FLAT
2011-09-23,FLAT
2011-09-26,FLAT
2011-09-27,FLAT
2011-09-28,FLAT
2011-09-29,FLAT
2011-09-30,FLAT
2011-10-03,FLAT
2011-10-04,FLAT
2011-10-05,FLAT
2011-10-06,FLAT
2011-10-07,FLAT
2011-10-10,FLAT
2011-10-11,FLAT
2011-10-12,FLAT
2011-10-13,FLAT
2011-10-14,FLAT
2011-10-17,FLAT
2011-10-18,FLAT
2011-10-19,FLAT
2011-10-20,FLAT
2011-10-21,FLAT
2011-10-24,FLAT
2011-10-25,MR_level
2011-10-26,MR_level
2011-10-27,MR_level
2011-10-28,MR_level
2011-10-31,MR_level
2011-11-01,MR_level
2011-11-02,MR_level
2011-11-03,MR_level
2011-11-04,MR_level
2011-11-07,MR_level
2011-11-08,MR_level
2011-11-09,MR_level
2011-11-10,MR_level
2011-11-11,MR_level
2011-11-14,MR_level
2011-11-15,MR_level
2011-11-16,MR_level
2011-11-17,MR_level
2011-11-18,MR_level
2011-11-21,MR_level
2011-11-22,MR_level
2011-11-23,FLAT
2011-11-25,FLAT
2011-11-28,FLAT
2011-11-29,FLAT
2011-11-30,FLAT
2011-12-01,FLAT
2011-12-02,FLAT
2011-12-05,FLAT
2011-12-06,FLAT
2011-12-07,FLAT
2011-12-08,FLAT
2011-12-09,FLAT
2011-12-12,FLAT
2011-12-13,FLAT
2011-12-14,FLAT
2011-12-15,FLAT
2011-12-16,FLAT
2011-12-19,FLAT
