DATE,MR_level,TF_level,MOM_TF,MOM_MR,BLEND_TF,BLEND_MR
2009-11-24,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-25,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-27,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-02,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-03,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-04,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-07,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-08,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-09,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-10,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-11,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-14,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-15,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-16,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-17,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-18,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-21,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-22,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-23,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-24,-0.00037652220856516374,-0.0006239039634362653,-0.00028271380387898945,-0.0006839084614308189,-0.0005286736072741984,-0.0004562171490771905
2009-12-28,0.0007080199252370166,-0.0004105970385713891,-0.00046752232889093033,0.0011497415319230043,-0.00039233106456715934,0.0008450739386419903
2009-12-29,0.0005367287549312473,-0.0003826660210331471,-0.0003389291455331822,0.0006960798778476645,-0.0003564774223699924,0.0005906349110971091
2009-12-30,0.0006071075607250424,-0.0003132882932558072,-0.00014275976621541545,0.0008439622777106614,-0.0002273702449945977,0.0006896775095601541
2009-12-31,-0.001046833464614766,0.0015677073473165483,0.002005678412994635,-0.0006942207085927728,0.0018143401006697612,-0.0009317509021047145
2010-01-04,0.000492958505989719,-0.0011818506380450447,-0.0018827315927266927,0.00015732482724359142,-0.0015200009639763218,0.0003692274346254066
2010-01-05,0.00011575951532395343,-0.00034708624769886243,-0.0002818100708565978,-0.00026327782202685806,-0.00037254031734254724,4.170551770118537e-06
2010-01-06,-0.0007483470709345242,0.00028562374620765387,4.927166156344707e-06,-0.0011157880457732523,0.00014141354161086917,-0.0008755854439989703
2010-01-07,-0.00021174906157751068,0.00043125904762057586,0.0007525141157622393,-0.00019058707688502437,0.0005687025422959047,-0.00019513204090859746
2010-01-08,0.0003881964192576972,-0.0006441240738314347,-0.0008000049201810317,0.00016532628091303308,-0.0007449024472762023,0.00031784990158961426
2010-01-11,-0.00014127112704636897,-0.0005049504116184891,-0.000854586095486802,-0.0007149079683132464,-0.0007175917839490741,-0.0003289749985488004
2010-01-12,0.0006019007491395703,-0.0003315912548003126,0.00015697860385216892,0.0005234805546951459,-0.00015790478128618283,0.0006005728987967028
2010-01-13,-2.4401237914020606e-05,-0.00013961954428424087,-0.00048424609679391986,5.7472280974544475e-05,-0.0002677715311325623,-1.2422778658086785e-05
2010-01-14,-3.8416410922130354e-05,0.00027417843532196443,0.0003430489972519913,0.00022536751956121,0.0003371481996352327,4.375175809667156e-05
2010-01-15,0.000618286492034021,-0.0008310237521877433,-0.0007688644412879343,0.00025492195326161154,-0.0008671128330684607,0.0005150928231910009
2010-01-19,-0.0006366378313699844,0.0005633641843151929,0.00029893023863759703,-0.0004859660234340133,0.0004904694827997922,-0.0006054518700272249
2010-01-20,0.00043728519065537667,-9.487793890319279e-05,0.00030303596489783866,0.0005428208243131972,6.97792635539533e-05,0.00048713833033412515
2010-01-21,0.00024534150657498025,-0.0004420407578671717,-0.0002880956424732591,-0.0001682785000107868,-0.00043907746970757694,0.00012749749274202797
2010-01-22,-3.200739851977211e-05,-0.0003754242831011106,-0.000732859612506152,-0.00027317407517968165,-0.0005505289311935158,-0.00011843919566160272
2010-01-25,-1.661979666142709e-05,0.000157885888941358,0.0004254930493684582,-6.01881769559889e-05,0.00026080316522615274,-2.012500101139021e-05
2010-01-26,0.0006930955494918263,-0.0008894361372720793,-0.0007865278992898378,0.0003141180460566607,-0.0009127757488741181,0.0005872263012336442
2010-01-27,0.00017885028676300607,-0.0002970562339125081,-0.0002189805256160746,0.00011134765150560351,-0.0006954745870835759,0.0003606590318179156
2010-01-28,-0.0007261031522993134,0.0009375155329962873,0.0012042174904046982,-0.0013322144692900911,0.0014539931205619935,-0.0009534885738872506
2010-01-29,-7.993818018047927e-05,-0.00018172037365058214,7.124504938644044e-05,-0.00011865511962276613,0.0001184919966100171,-0.00010444215140871797
2010-02-01,2.558610329907197e-05,0.0007327335439717044,0.0007195471076036653,-0.000408272845727162,0.000527760996722081,-9.754353841453454e-06
2010-02-02,0.0009194040377260489,-0.0014232631845308937,-0.0016246820649250969,0.001705311653501066,-0.0018929735379556165,0.001198860937931937
2010-02-03,-0.001269929592659322,0.0018056976833092588,0.001430869932832017,-0.0016908752614942701,0.0018927180527027,-0.001548334962390936
2010-02-04,-0.000321361764147039,-0.00034920775272619087,0.0002826172919435466,-0.0007463365175984045,0.0006315113919874363,-0.0005128307449430549
2010-02-05,-0.0013079859580971327,0.0005233638238530884,-0.0006667103805616799,3.364049294183138e-05,3.41081234753975e-05,-0.0013026368558334304
2010-02-08,0.0009670282112176253,-0.0004843490014095648,0.00020357279162252768,0.0002268565135050712,-0.0002909718461483303,0.001006593589796478
2010-02-09,-0.0004651812087083975,0.0013099762480064357,0.0012167433607111378,-0.0010413285759631322,0.0012243549223832934,-0.0006093746697063845
2010-02-10,0.0004394366630728686,-0.0006989964634175192,-0.0013974672042499391,0.001182093816775068,-0.0013742988227359524,0.0006069855897284479
2010-02-11,-0.0011992490566659277,0.0010391844341870067,0.0002558860563310148,-0.0006469543138568441,0.0007831515313861918,-0.0012984839157291666
2010-02-12,-0.0005497405376614134,0.0004082968817709328,0.00014986608656802696,-0.0003512840538041636,0.00040426499203936525,-0.0006091802647774918
2010-02-16,0.00013398194190926757,-0.0005393992366011943,-0.000818050456748341,0.0005025543266995151,-0.0006633060478890955,0.00017579615694657762
2010-02-17,-0.00012720496913852568,0.0003095266791888555,-0.00014417231344618923,0.0002791873248463172,-0.00018994256005694274,-4.377281027608207e-05
