mode,BEAR_FLAT,BEAR_STEEP,BULL_FLAT,BULL_STEEP,FULL
MR_level,0.02354306872944398,-0.20093107854406253,-1.896918645005793,-2.1995406123163237,-1.0184890663760093
TF_level,-1.6636322331821802,-0.7126550637597808,-1.7156499590721568,-0.04324291746184635,-0.9454017897367103
MOM_TF,-2.182474966717675,-0.8744873081554528,-1.5276882713368714,-0.7706464018637054,-1.3274852997321558
MOM_MR,0.6149401928879284,0.134618614176722,-2.1456349487762565,-1.9352427198838251,-0.7758642324198668
BLEND_TF,-1.6738118755986033,-1.001573518568906,-1.6563582139694313,-0.3733816646920121,-1.133978770940238
BLEND_MR,0.2738518629863068,0.0009753133829296682,-1.7576083129239335,-2.069783220898202,-0.7859725534378481
