pair,z_window,k_spread,sharpe,delta_sharpe,n_dead,win_rate,n_events
3M-6M,63,-0.1,0.16755550010662854,-0.2521382425273482,4,0.6666666666666666,60
3M-6M,63,0.2,0.3110989514309801,-0.10859479120299659,4,0.7777777777777778,54
3M-6M,63,-0.2,0.17596126703250925,-0.24373247560146744,4,0.6666666666666666,63
3M-6M,63,0.3,0.2758595459289283,-0.14383419670504838,3,0.7222222222222222,59
3M-6M,63,-0.3,0.17487152302585912,-0.24482221960811756,4,0.6666666666666666,71
3M-6M,63,0.5,0.22744543765250128,-0.1922483049814754,3,0.6666666666666666,70
3M-6M,63,-0.5,0.21692750197091676,-0.20276624066305993,3,0.7777777777777778,85
3M-6M,63,0.75,0.03235755000603785,-0.38733619262793884,4,0.5,104
3M-6M,63,-0.75,0.22300799621103887,-0.19668574642293782,0,0.6666666666666666,105
3M-6M,63,1.0,-0.09599572497786184,-0.5156894676118385,1,0.5,136
3M-6M,63,-1.0,-0.014831299490166682,-0.4345250421241434,5,0.5555555555555556,142
3M-6M,126,0.1,0.39758880143706865,-0.022104941196908034,4,0.7222222222222222,56
3M-6M,126,-0.1,0.16972065821934731,-0.24997308441462937,4,0.6666666666666666,60
3M-6M,126,0.2,0.37296912587484876,-0.046724616759127924,4,0.7777777777777778,55
3M-6M,126,-0.2,0.1747002258189407,-0.24499351681503598,4,0.6666666666666666,61
3M-6M,126,0.3,0.2881725701177867,-0.13152117251619,6,0.7222222222222222,61
3M-6M,126,-0.3,0.17970480148318552,-0.23998894115079117,4,0.6666666666666666,67
3M-6M,126,0.5,0.21737611647465732,-0.20231762615931936,7,0.6111111111111112,68
3M-6M,126,-0.5,0.1602519194762546,-0.2594418231577221,2,0.6111111111111112,74
3M-6M,126,0.75,0.035671186666393545,-0.38402255596758317,4,0.6111111111111112,99
3M-6M,126,-0.75,0.11352307828316886,-0.3061706643508078,1,0.6111111111111112,100
3M-6M,126,1.0,-0.05943768632664438,-0.47913142896062105,2,0.5555555555555556,127
3M-6M,126,-1.0,-0.06902223699115416,-0.48871597962513086,1,0.5555555555555556,129
3M-6M,252,0.1,0.39758880143706865,-0.022104941196908034,4,0.7222222222222222,56
3M-6M,252,-0.1,0.21401860317110707,-0.2056751394628696,4,0.6666666666666666,57
3M-6M,252,0.2,0.32928836366096226,-0.09040537897301443,4,0.7777777777777778,55
3M-6M,252,-0.2,0.17596126703250925,-0.24373247560146744,4,0.6666666666666666,61
3M-6M,252,0.3,0.28298383272982086,-0.13670990990415582,6,0.7222222222222222,57
3M-6M,252,-0.3,0.18764955690886542,-0.23204418572511126,4,0.6666666666666666,66
3M-6M,252,0.5,0.21452396023294448,-0.2051697824010322,7,0.6111111111111112,69
3M-6M,252,-0.5,0.1248938519995283,-0.2947998906344484,2,0.6111111111111112,74
3M-6M,252,0.75,0.23402819990033918,-0.1856655427336375,4,0.5555555555555556,89
3M-6M,252,-0.75,0.06390659869023795,-0.3557871439437387,2,0.6111111111111112,92
3M-6M,252,1.0,-0.01745628440526705,-0.4371500270392437,4,0.5,123
3M-6M,252,-1.0,-0.021595292035513598,-0.44128903466949027,3,0.6111111111111112,126
