date,equity,benchmark_tlt,weight,net_return,z_final,z_rr,z_yc,z_term,regime_hmm
2009-01-02,0.9866619256334314,0.9748638458315878,0.5,-0.013338074366568642,2.7750482657352196,3.1342662830479266,0.9546059546299317,-1.6139995092542156,STRESS
2009-01-05,0.9742998161170203,0.9497276916631755,0.5,-0.01252922525461253,1.9321177517129198,2.3402962892238794,0.9501218735425285,-1.733037748934295,STRESS
2009-01-06,0.9696212111786362,0.9401759530791789,0.5,-0.004802017675657744,0.4229311893286405,1.565144695703451,0.9456634785234288,-3.5647813748295976,STRESS
2009-01-07,0.9716101276093065,0.9438625890238794,0.5,0.0020512303234917484,0.759894635080108,1.182489736800472,0.9412304395289215,-1.7624105839476014,STRESS
2009-01-08,0.9706938085473575,0.9431085043988271,0.5,-0.0009430933621529802,1.6303872894378781,0.42687786640320746,0.22247264934319963,2.8419190705792765,STRESS
2009-01-09,0.9717790098615634,0.9445328864683704,0.5,0.0011179645987747788,0.1981972876511679,0.46777741338163226,0.22247264934319963,-0.8408048013335607,STRESS
2009-01-12,0.977086188625739,0.9543359865940512,0.5,0.005461302117373057,0.3878269989415031,0.300477631920148,0.22247264934319963,0.051518930545988,STRESS
2009-01-13,0.9776008960121969,0.9553414327607875,0.5,0.0005267778753291763,0.5885427969220034,-0.25660571364632473,0.22247264934319963,1.9460167894134204,STRESS
2009-01-14,0.9857489605601286,0.9710934227063259,0.5,0.00833475560545105,0.3728396730345019,0.14116272907952365,0.22247264934319963,0.4123378728800458,STRESS
2009-01-15,0.9862444688230675,0.972685379136992,0.5,0.0005026718594330348,0.311753410935553,0.2440202935486363,0.22247264934319963,0.0024783064598920216,STRESS
2009-01-16,0.9786856730344932,0.957687473816506,0.5,-0.007664221222547896,1.4774466695292252,0.46970305981459903,0.9368224320754609,1.8167422002299698,STRESS
2009-01-20,0.9786000487411393,0.9575198994553832,0.5,-8.748906386701893e-05,0.8251773746904476,0.5794750482037783,0.21605297079528113,0.4522160881202124,STRESS
2009-01-21,0.9629661484495202,0.9272727272727271,0.5,-0.015975781231290787,1.221963677070046,1.0703364762364163,0.21605297079528113,0.21702827398761337,STRESS
2009-01-22,0.9538302731821711,0.9094260578131546,0.5,-0.009487223701538094,1.511354040810239,1.1995817201980663,0.21605297079528113,0.617391073433971,STRESS
2009-01-23,0.9502683378460697,0.9023041474654376,0.5,-0.003734349219403632,0.9307496479779587,1.0013722004822456,0.21605297079528113,-0.3385961093571782,STRESS
