DATE,2s5s_spread,2s5s_z_level,2s5s_z_mom,2s10s_spread,2s10s_z_level,2s10s_z_mom,5s10s_spread,5s10s_z_level,5s10s_z_mom,10s30s_spread,10s30s_z_level,10s30s_z_mom,2s30s_spread,2s30s_z_level,2s30s_z_mom,5s30s_spread,5s30s_z_level,5s30s_z_mom
2006-01-02,-0.04994100000000046,,,-0.00851900000000061,,,0.04142199999999985,,,0.14364100000000057,,,0.13512199999999996,,,0.18506300000000042,,
2006-01-03,-0.024842999999999726,,,0.038752000000000564,,,0.06359500000000029,,,0.18262499999999982,,,0.22137700000000038,,,0.2462200000000001,,
2006-01-04,-0.02471899999999927,,,0.04213700000000031,,,0.06685599999999958,,,0.19443300000000008,,,0.2365700000000004,,,0.26128899999999966,,
2006-01-05,-0.03415199999999974,,,0.03542299999999976,,,0.0695749999999995,,,0.1933769999999999,,,0.22879999999999967,,,0.2629519999999994,,
2006-01-06,-0.03538599999999992,,,0.023903999999999925,,,0.05928999999999984,,,0.187373,,,0.21127699999999994,,,0.24666299999999985,,
2006-01-09,-0.04117700000000024,,,0.024483000000000033,,,0.06566000000000027,,,0.18550299999999975,,,0.20998599999999978,,,0.251163,,
2006-01-10,-0.03448199999999968,,,0.03325400000000034,,,0.06773600000000002,,,0.18705700000000025,,,0.2203110000000006,,,0.25479300000000027,,
2006-01-11,-0.02756500000000006,,,0.03572100000000056,,,0.06328600000000062,,,0.18008899999999972,,,0.21581000000000028,,,0.24337500000000034,,
2006-01-12,-0.03990200000000055,,,0.028426999999999758,,,0.0683290000000003,,,0.18128399999999978,,,0.20971099999999954,,,0.24961300000000008,,
2006-01-13,-0.046971000000000096,,,0.021419999999999995,,,0.06839100000000009,,,0.17500099999999996,,,0.19642099999999996,,,0.24339200000000005,,
2006-01-16,-0.046643999999999686,,,0.021717999999999904,,,0.06836199999999959,,,0.17499999999999982,,,0.19671799999999973,,,0.2433619999999994,,
2006-01-17,-0.059171999999999336,,,0.0009050000000003777,,,0.060076999999999714,,,0.17834899999999987,,,0.17925400000000025,,,0.23842599999999958,,
2006-01-18,-0.0556599999999996,,,0.008720000000000283,,,0.06437999999999988,,,0.1791809999999998,,,0.1879010000000001,,,0.2435609999999997,,
2006-01-19,-0.059165000000000134,,,0.007635999999999754,,,0.06680099999999989,,,0.17376000000000058,,,0.18139600000000033,,,0.24056100000000047,,
2006-01-20,-0.06310599999999944,,,0.0011929999999997776,,,0.06429899999999922,,,0.1721630000000003,,,0.17335600000000007,,,0.2364619999999995,,
2006-01-23,-0.059502000000000166,,,0.00712500000000027,,,0.06662700000000044,,,0.17496400000000012,,,0.1820890000000004,,,0.24159100000000056,,
2006-01-24,-0.06527700000000003,,,0.008455999999999797,,,0.07373299999999983,,,0.18129499999999954,,,0.18975099999999934,,,0.25502799999999937,,
2006-01-25,-0.048597,,,0.025102999999999653,,,0.07369999999999965,,,0.1797810000000002,,,0.20488399999999984,,,0.25348099999999985,,
2006-01-26,-0.04502899999999954,,,0.03483400000000003,,,0.07986299999999957,,,0.17677500000000013,,,0.21160900000000016,,,0.2566379999999997,,
2006-01-27,-0.04952500000000004,,,0.018599000000000032,,,0.06812400000000007,,,0.18266500000000008,,,0.2012640000000001,,,0.25078900000000015,,
2006-01-30,-0.051730000000000054,,,0.018013000000000723,,,0.06974300000000078,,,0.1766729999999992,,,0.19468599999999991,,,0.24641599999999997,,
2006-01-31,-0.06360600000000005,,,-0.00034699999999965314,,,0.0632590000000004,,,0.16168199999999988,,,0.16133500000000023,,,0.22494100000000028,,
2006-02-01,-0.07527699999999982,,,-0.018591999999999942,,,0.056684999999999874,,,0.15062399999999965,,,0.1320319999999997,,,0.20730899999999952,,
2006-02-02,-0.09200699999999973,,,-0.03340999999999994,,,0.05859699999999979,,,0.1375869999999999,,,0.10417699999999996,,,0.1961839999999997,,
2006-02-03,-0.08522400000000019,,,-0.04299900000000001,,,0.04222500000000018,,,0.10107199999999938,,,0.058072999999999375,,,0.14329699999999956,,
2006-02-06,-0.10202799999999979,,,-0.06499599999999983,,,0.037031999999999954,,,0.07906499999999994,,,0.01406900000000011,,,0.1160969999999999,,
