config,signal,tl_c,ts_c,tl_s,cd,sharpe,sortino,ann_ret,vol,mdd,calmar,excess,n_events,eq_final,pos_years,tot_years
Deep Grid Best,ALL|std|w80,-3.2,2.3,-3.75,5,0.2558444321830745,0.3052878853580165,0.04571278344747154,0.10050163385643762,-0.21177428989117597,0.21585615265649988,0.061833927095632846,41,2.144473378046606,11,18
ALL|std|w63 Optimized,ALL|std|w63,-3.25,2.75,-4.0,5,0.2495588716715564,0.3052148881723105,0.0457036573284777,0.10299636777612216,-0.23607758712951166,0.19359591854607006,0.061824800976639005,24,2.144153979583477,9,18
Baseline V1,1M|move|w250|mw504,-3.5,3.0,-4.0,5,0.20952695190707415,0.2413464640109886,0.03981688829180374,0.09457918473701939,-0.23607758712951366,0.16866017979910963,0.05593803193996505,18,1.947200404463611,11,18
Composite Best,ALL|std|w63+10Y-2Y,-3.25,2.75,-4.0,5,0.3249003825937067,0.3987079831131923,0.05390723396728214,0.1043619391783964,-0.23607758712951266,0.2283454122974771,0.07002837761544345,52,2.450071788504153,11,18
