spread,window,mapping,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
2s30s,10,bull_bear,-0.5374320271167772,-0.5460580212783909,-0.04408091014514881,0.10984863685217111,-0.5876465092245858,-0.07501262996238107,-0.5373879501517616,373
2s30s,10,steep_flat,-0.5286563491318232,-0.5300567812595235,-0.0416818592586945,0.10743748052282641,-0.5304259082393993,-0.07858186904377615,-0.5171294662574891,400
2s30s,10,full_4,-0.49610857776678596,-0.504806902372123,-0.03240497802759734,0.0971879030704517,-0.46264337345711054,-0.07004310422831865,-0.4306591466480485,531
2s30s,10,directional,-0.5294051532898024,-0.5352050339702411,-0.04427071235461999,0.11153845440539839,-0.5617272742254931,-0.07881175507395513,-0.5389560692178692,469
2s30s,15,bull_bear,-0.23303567742517473,-0.24299591150193095,-0.011473260321158807,0.10958813897307311,-0.34254581377567045,-0.033494090015861414,-0.17907026821885696,298
2s30s,15,steep_flat,-0.3924110088973915,-0.39863342048573364,-0.026099138491549545,0.1044504499695404,-0.46785296354765166,-0.05578491646957645,-0.3637741063203498,298
2s30s,15,full_4,-0.3441786587680208,-0.35191666665509974,-0.017419888714946707,0.09582701083295363,-0.2791888487893607,-0.06239464359154786,-0.2595455791300165,469
2s30s,15,directional,-0.3104632323293982,-0.32051802859089085,-0.02123478925130462,0.11299730581636065,-0.363331172564244,-0.05844472166106225,-0.30719635342493046,393
2s30s,21,bull_bear,-0.36917972570862917,-0.38845917002632846,-0.025429158779068595,0.10812247334868087,-0.39343777784173173,-0.06463324116602241,-0.3562485118727007,268
2s30s,21,steep_flat,-0.39967125818227867,-0.3993399518300398,-0.028780856298671442,0.10839081452243575,-0.5091900255642507,-0.056522820270837784,-0.3930753585694393,268
2s30s,21,full_4,-0.43310039567058545,-0.4388722079851544,-0.026828415477647582,0.09789420601435624,-0.4203876636055743,-0.0638182748930976,-0.3718715741285695,399
2s30s,21,directional,-0.35826087305897236,-0.3688786544800914,-0.026120084862682136,0.1121545005280654,-0.4446671534595415,-0.05874075622511367,-0.3640080472173596,353
2s30s,42,bull_bear,-0.07217784761577732,-0.07503895146740022,0.006456081363944488,0.10767368699793153,-0.2428755786017077,0.0265818465615756,0.1163216485067029,186
2s30s,42,steep_flat,-0.19653718732463205,-0.19705118440698965,-0.00796641285708044,0.11105715486237686,-0.4931827450657744,-0.016153064836074066,-0.1278246850590794,166
2s30s,42,full_4,-0.12300571403608504,-0.12522074422545218,0.003074643717330794,0.09832049436763436,-0.3363633866582258,0.009140839459007163,0.053895511020549014,279
2s30s,42,directional,-0.07531246105516562,-0.07766867839862263,0.005232961118752266,0.11241328295816441,-0.32071977884569647,0.016316303090461812,0.09334977774451403,234
2s30s,63,bull_bear,0.006426595655534463,0.006741568773862542,0.015044210315455775,0.1073671655160926,-0.23637784983128662,0.06364475489642324,0.29088525929492937,128
2s30s,63,steep_flat,-0.2235150465200142,-0.2225758530526355,-0.011394090536626544,0.112444873109248,-0.5019147883392473,-0.022701244915153223,-0.17794531883003162,127
2s30s,63,full_4,-0.11413593626348822,-0.11698913631826352,0.003792446887482148,0.09906372730455712,-0.3273106713175287,0.011586688793910546,0.06686578369587015,213
2s30s,63,directional,-0.06623123936397335,-0.06879884702806166,0.006216582520683245,0.11266620604677612,-0.34423188882177214,0.018059287133336776,0.11178805895301491,169
2s30s,126,bull_bear,-0.1368648007364299,-0.1418948917906951,-0.00033869374533301855,0.10689202657824622,-0.36081442018841836,-0.0009386923758649991,-0.005775631755055244,98
2s30s,126,steep_flat,-0.3003754817273172,-0.29893716892002864,-0.01848105303276404,0.10892689276439757,-0.49650273145947,-0.03722245994183954,-0.27310114269745756,67
2s30s,126,full_4,-0.25789098865735655,-0.2650214545354642,-0.009133454336143987,0.0954657672725868,-0.3820302858381378,-0.023907670869878977,-0.14520397079346004,144
2s30s,126,directional,-0.2330543040083515,-0.23928290161224333,-0.012431041324870384,0.11239938550700684,-0.476506046699113,-0.02608789838236805,-0.19256536121761303,121
2s10s,10,bull_bear,-0.4305019880377503,-0.43785645691354647,-0.03293735776009976,0.1101409878991989,-0.494957574775692,-0.06654582016453939,-0.4359919280508102,373
2s10s,10,steep_flat,-0.45465068795806063,-0.46196150028755956,-0.03381775283484878,0.10704726351607291,-0.49631654147058496,-0.06813746875058173,-0.44470767468456385,386
2s10s,10,full_4,-0.5018727951277436,-0.5053634554729494,-0.033147529007329535,0.09752990108546432,-0.4453014929434092,-0.07443839630589799,-0.43808421079012794,516
2s10s,10,directional,-0.5162738433088917,-0.5189452653885636,-0.043219662146280036,0.112118364333672,-0.5662470074689703,-0.07632651753775216,-0.53020913915388,467
2s10s,15,bull_bear,-0.2875257233838925,-0.2997564816061083,-0.01801758310439927,0.1112723001239252,-0.37910556254829136,-0.04752655957693617,-0.2672096634867891,298
2s10s,15,steep_flat,-0.40076973922300624,-0.41225812051249056,-0.02811521766743308,0.1068218724087286,-0.4548653939211154,-0.0618099728912526,-0.38592332366101856,304
2s10s,15,full_4,-0.3291008718532084,-0.33796304284058826,-0.017198399880812065,0.09868630444503688,-0.2831167609368491,-0.060746667996276885,-0.2566863671126366,443
2s10s,15,directional,-0.29756369063814553,-0.3066736912578608,-0.02017046767920916,0.11389553353220416,-0.38809149566356055,-0.0519734853883402,-0.2942010595571811,386
2s10s,21,bull_bear,-0.5010242451183174,-0.5206767243337004,-0.03931111976410184,0.1082645942753042,-0.5148973240942785,-0.07634749283898767,-0.49629172528745447,286
2s10s,21,steep_flat,-0.3603364749238039,-0.3636767521022908,-0.0251208170506797,0.1094646144568257,-0.42083738026559614,-0.05969245658459715,-0.35275695196038026,272
2s10s,21,full_4,-0.3782907605139897,-0.3874911487525907,-0.022183268325508876,0.09916450452074055,-0.4218775868056582,-0.052582239538901614,-0.31858706715613283,404
2s10s,21,directional,-0.4548015190321541,-0.46760367948841297,-0.036710500391247125,0.11233733300847541,-0.4864925498007524,-0.0754595325381288,-0.4724609408376508,368
2s10s,42,bull_bear,-0.059034994755877604,-0.06158058169623306,0.007690510264141581,0.10881139260671113,-0.29448075844202765,0.026115493266279256,0.13996611957887595,188
2s10s,42,steep_flat,-0.2551856462979918,-0.25870822861795434,-0.013638795124321423,0.10893781302430924,-0.4813013711980818,-0.02833732862711566,-0.20928489871663547,192
2s10s,42,full_4,-0.16533736773731544,-0.16997803707480225,-0.00046492992026836433,0.09595063431148568,-0.3312344821472254,-0.0014036277782870283,-0.007920249518765798,308
2s10s,42,directional,-0.07901635995113154,-0.08117024457732783,0.004838023352561782,0.11229030432266814,-0.29721968031106727,0.01627760095663367,0.08602787276178758,251
2s10s,63,bull_bear,-0.0973097469920625,-0.10140679937252534,0.0038484656123007888,0.10713567162123808,-0.26869008672593037,0.014323065131265173,0.06788430505750576,158
2s10s,63,steep_flat,-0.26765402698274676,-0.26625709770486067,-0.016755930904656546,0.11369006572746727,-0.4752363347969859,-0.03525810144928089,-0.25094335633864784,141
2s10s,63,full_4,-0.22594364756713572,-0.22901190421778173,-0.00786531584330985,0.10091487042674947,-0.34338794208966067,-0.022905043768998063,-0.12630361928283906,250
2s10s,63,directional,-0.1872905971390936,-0.19250691547921814,-0.007400817859141262,0.11261510061609854,-0.36883876252164244,-0.02006518460409107,-0.11928281002535768,199
2s10s,126,bull_bear,-0.13008869358340447,-0.13502413447433648,0.0001231229864480099,0.10799828491467593,-0.28268256119892143,0.0004355521116188319,0.002107393194743512,88
2s10s,126,steep_flat,-0.3400639025905172,-0.33845563622926655,-0.02377358995934986,0.11133174617703383,-0.4844650535214443,-0.049071836630002766,-0.3372911939767067,73
2s10s,126,full_4,-0.29230087123124815,-0.29918057822383726,-0.013425142953495173,0.09817703733532111,-0.3957994928592314,-0.03391905041745445,-0.2063511378366939,140
2s10s,126,directional,-0.2661693421362158,-0.2741309504939073,-0.016492666970204906,0.11345296332080032,-0.4635678411434988,-0.03557767710875257,-0.2475065352369329,109
3m2y,10,bull_bear,-0.1704247244249503,-0.17873984537830534,-0.0043291666110084615,0.10837033072902752,-0.33861025430014524,-0.01278510191593629,-0.07150103335422198,353
3m2y,10,steep_flat,-0.37868380238134136,-0.3888604965745626,-0.025866714151538517,0.10691541505031019,-0.4367854824752086,-0.05922063619183286,-0.3611728170034484,387
3m2y,10,full_4,-0.260235278961893,-0.2670122719583745,-0.010555348052524116,0.09885481249509902,-0.2933159293992169,-0.035986276211264975,-0.1659378743626413,498
