window,align_th,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
10,3,-0.4884686333387443,-0.4955605038855018,-0.037528576840683336,0.10741917945767977,-0.5021031275682053,-0.07474276653571628,-0.4800694800082139,410
10,4,-0.4884686333387443,-0.4955605038855018,-0.037528576840683336,0.10741917945767977,-0.5021031275682053,-0.07474276653571628,-0.4800694800082139,410
10,5,-0.35824926823682574,-0.3651646363055158,-0.022207795279483022,0.10354074499181046,-0.365532508774871,-0.060754638086541995,-0.31887927023679297,478
10,6,-0.32772292660487745,-0.33364862636284576,-0.016769254921639276,0.09797736191339111,-0.34513181004563454,-0.04858797257610646,-0.2511169033276557,531
15,3,-0.19665010333718,-0.20723548480165,-0.006988272490250025,0.10782669206989971,-0.3383044647195786,-0.02065675513931695,-0.11300274980978287,333
15,4,-0.19665010333718,-0.20723548480165,-0.006988272490250025,0.10782669206989971,-0.3383044647195786,-0.02065675513931695,-0.11300274980978287,333
15,5,-0.07246721239474747,-0.07600773370117328,0.007383654678229101,0.10231328502142302,-0.25382480170477206,0.029089571344636193,0.13404490853995377,397
15,6,-0.15770610915443803,-0.16144105118631,-0.0005451462917002159,0.09913928081874473,-0.22753087010725828,-0.0023959223266857522,-0.009280775936115093,439
21,3,-0.403087733166153,-0.4175374114215523,-0.02841522745253444,0.1069461624915677,-0.43987484762850587,-0.06459843659106507,-0.3891565818451379,312
21,4,-0.403087733166153,-0.4175374114215523,-0.02841522745253444,0.1069461624915677,-0.43987484762850587,-0.06459843659106507,-0.3891565818451379,312
21,5,-0.3869493858957999,-0.40139946213936234,-0.02523371191672641,0.1038145247940467,-0.38420409557539936,-0.0656778837272294,-0.3540373999776264,360
21,6,-0.38197918523155217,-0.39154745152765563,-0.023113544370900407,0.10039200183967155,-0.35000913281138996,-0.06603697505046431,-0.3295877074105106,372
42,3,-0.0825362363789065,-0.08572121904574133,0.005528701615913789,0.10665767153639552,-0.2834573565146525,0.01950452683216214,0.0988630311454608,217
42,4,-0.0825362363789065,-0.08572121904574133,0.005528701615913789,0.10665767153639552,-0.2834573565146525,0.01950452683216214,0.0988630311454608,217
42,5,-0.10077504782528604,-0.10389921219876118,0.004060026473982736,0.10431114925902629,-0.2904038487702821,0.013980622127340797,0.07173912627749246,262
42,6,-0.17696073281452918,-0.18030529727246294,-0.0030741943064328536,0.10139110132473136,-0.2634573700856494,-0.01166865935628766,-0.05128538581084374,283
63,3,-0.06175042514569174,-0.06423356471585658,0.007895807527729781,0.10586040247356106,-0.26071984066155296,0.030284643883238364,0.14394385833345513,176
63,4,-0.06175042514569174,-0.06423356471585658,0.007895807527729781,0.10586040247356106,-0.26071984066155296,0.030284643883238364,0.14394385833345513,176
63,5,-0.11032463766790337,-0.11414077971547508,0.0032713391720273766,0.10333451953299888,-0.2806731823419388,0.0116553321722129,0.05743483431985141,233
63,6,-0.24471407538962556,-0.24852328065608426,-0.009647466939346705,0.10066024369229759,-0.3439610785926832,-0.028048135500735483,-0.15275462360294256,249
126,3,-0.14099704333251178,-0.1459205561139815,-0.0008037399858603633,0.10698869307078093,-0.28722411666489367,-0.0027983025770711733,-0.013654758204538542,125
126,4,-0.14099704333251178,-0.1459205561139815,-0.0008037399858603633,0.10698869307078093,-0.28722411666489367,-0.0027983025770711733,-0.013654758204538542,125
126,5,-0.25614235713955347,-0.2623255678196483,-0.01193276681798816,0.10389348379093598,-0.31737561624913313,-0.03759824702040497,-0.18557097986722837,196
126,6,-0.20912251192603712,-0.21181358577078854,-0.005823719771449687,0.09978322966319346,-0.35050879436205407,-0.016615046084789933,-0.09504683019929461,173
