year,strategy,benchmark,excess,vol,n_trades
2009,-0.1209314210212642,-0.2468370339338093,0.1259056129125451,0.10404932749241341,19
2010,0.032363787084877194,0.047057514740240114,-0.01469372765536292,0.11801989866123778,10
2011,0.3413776079231481,0.2882490437739065,0.05312856414924161,0.18318775918267244,12
2012,-0.11449366362776425,-0.0005773195876266346,-0.11391634404013762,0.1039764354771251,25
2013,-0.06571079498419652,-0.15943224954612967,0.09372145456193315,0.0676387669628037,8
2014,0.08190738966386468,0.23620655802081458,-0.1542991683569499,0.08229602920106278,23
2015,-0.06957358787772039,-0.04240787801778967,-0.02716570985993072,0.10838949593094428,17
2016,0.11061944211160668,-0.012025211477855069,0.12264465358946175,0.09480331890790132,10
2017,-0.04614841340205145,0.06488709812809224,-0.11103551153014368,0.0607877639614272,29
2018,-0.0004501874025041319,-0.04217247359293741,0.04172228619043328,0.0445347627073655,14
2019,0.14044003026442753,0.11496996132005388,0.025470068944373647,0.1033038472891509,7
2020,0.11152355005809289,0.16423088278712572,-0.05270733272903283,0.1971513786916698,14
2021,0.026391568100289753,-0.06048310403854573,0.08687467213883548,0.07060595638708066,14
2022,-0.09541976890810211,-0.3281597948579532,0.2327400259498511,0.07604239457819002,10
2023,0.16646848885859034,-0.006830052229810701,0.17329854108840104,0.10928695223052735,8
2024,-0.051562609346778476,-0.11680825242718507,0.06524564308040659,0.09940077202282054,4
2025,0.019876633706569224,-0.0019466391847020592,0.021823272891271284,0.09305694182789065,16
2026,0.0171364510849914,0.028223955943092127,-0.011087504858100727,0.04059121518234489,4
