method,base_signal,yc_component,param,thresholds,sharpe,sortino,ann_ret,vol,mdd,calmar,excess,n_events,eq_final
C_momentum,z_move,5Y-2Y,"win=21,k=0.3",optimized,0.24448846665129548,0.28281984778346575,0.043936649221999025,0.09790502410953784,-0.23607758712951132,0.1861110567768364,0.06005779287016033,37,2.0831484532735143
C_momentum,z_move,full_3seg,"win=126,k=0.3",baseline,0.23906214141987447,0.28571464588060025,0.04394847847182204,0.10017679223311382,-0.23607758712951155,0.18616116424348245,0.060069622119983346,25,2.0835513666791075
C_momentum,z_move,10Y2Y+30Y10Y,"win=126,k=0.3",baseline,0.23906214141987447,0.28571464588060025,0.04394847847182204,0.10017679223311382,-0.23607758712951155,0.18616116424348245,0.060069622119983346,25,2.0835513666791075
C_momentum,z_move,30Y-2Y,"win=126,k=0.3",baseline,0.23906214141987447,0.28571464588060025,0.04394847847182204,0.10017679223311382,-0.23607758712951155,0.18616116424348245,0.060069622119983346,25,2.0835513666791075
C_momentum,z_move,5Y2Y+30Y10Y,"win=126,k=0.3",baseline,0.23906214141987447,0.28571464588060025,0.04394847847182204,0.10017679223311382,-0.23607758712951155,0.18616116424348245,0.060069622119983346,27,2.0835513666791075
C_momentum,z_move,10Y2Y+30Y10Y,"win=126,k=0.2",optimized,0.23901149878005357,0.2856826988904723,0.04394366149917728,0.1001778643345149,-0.23607758712951155,0.1861407600505079,0.060064805147338585,26,2.0833872880083506
C_momentum,z_move,full_3seg,"win=126,k=0.2",optimized,0.23901149878005357,0.2856826988904723,0.04394366149917728,0.1001778643345149,-0.23607758712951155,0.1861407600505079,0.060064805147338585,26,2.0833872880083506
C_momentum,z_move,30Y-2Y,"win=126,k=0.2",optimized,0.23901149878005357,0.2856826988904723,0.04394366149917728,0.1001778643345149,-0.23607758712951155,0.1861407600505079,0.060064805147338585,26,2.0833872880083506
C_momentum,z_move,5Y2Y+30Y10Y,"win=21,k=0.3",optimized,0.2375855969647799,0.2770110681431357,0.04341193493415041,0.09854105313303581,-0.23607758712951132,0.1838884218616432,0.059533078582311716,33,2.0653498847449763
C_momentum,z_move,10Y2Y+10Y3M,"win=63,k=0.3",optimized,0.21952268704090813,0.2588777215079854,0.04217289872262464,0.1010050442690359,-0.23607758712951132,0.17863999389102847,0.05829404237078595,37,2.023887665039343
C_momentum,z_std,10Y-2Y,"win=126,k=0.5",baseline,0.2185619905200791,0.26415078803112685,0.04224026448995066,0.10175723801301795,-0.23607758712951277,0.17892534824484438,0.05836140813811197,39,2.026121650456701
C_momentum,z_move,30Y-2Y,"win=63,k=0.2",optimized,0.21719741880372187,0.26138520248456815,0.042108890377743124,0.10179168104075217,-0.23607758712951132,0.17836886122799256,0.05823003402590443,27,2.021767167111705
C_momentum,z_move,10Y2Y+30Y10Y,"win=63,k=0.2",optimized,0.21719741880372187,0.26138520248456815,0.042108890377743124,0.10179168104075217,-0.23607758712951132,0.17836886122799256,0.05823003402590443,27,2.021767167111705
C_momentum,z_move,full_3seg,"win=63,k=0.2",optimized,0.21719741880372187,0.26138520248456815,0.042108890377743124,0.10179168104075217,-0.23607758712951132,0.17836886122799256,0.05823003402590443,27,2.021767167111705
C_momentum,z_move,butterfly,"win=21,k=0.2",baseline,0.21321753004723615,0.23478417720877895,0.039368186868179,0.09083768517479861,-0.23607758712951188,0.1667595274369763,0.05548933051634031,15,1.9329089900404244
C_momentum,z_move,butterfly,"win=21,k=0.3",baseline,0.21321753004723615,0.23478417720877895,0.039368186868179,0.09083768517479861,-0.23607758712951188,0.1667595274369763,0.05548933051634031,13,1.9329089900404244
C_momentum,z_move,butterfly,"win=21,k=0.5",baseline,0.21321753004723615,0.23478417720877895,0.039368186868179,0.09083768517479861,-0.23607758712951188,0.1667595274369763,0.05548933051634031,13,1.9329089900404244
C_momentum,z_move,butterfly,"win=21,k=0.3",optimized,0.21316196233120735,0.23476360655155687,0.03936339102985276,0.09083886645670045,-0.2360775871295131,0.16673921276676656,0.055484534678014064,15,1.9327567743845817
C_momentum,z_move,10Y2Y+5Y2Y,"win=63,k=1.0",baseline,0.21030506577483288,0.2517542682173591,0.042113670610552045,0.10515044195002163,-0.23607758712951055,0.17838910979486067,0.05823481425871335,88,2.021925456570069
C_momentum,z_move,5Y2Y+30Y10Y,"win=126,k=0.3",optimized,0.20999367207929376,0.2548663627423214,0.04161287210864284,0.10292153994279316,-0.23607758712951155,0.17626777965082355,0.05773401575680415,32,2.0054056064270407
PURE_RR,z_move,-,-,baseline,0.20952695190707415,0.2413464640109886,0.03981688829180374,0.09457918473701939,-0.23607758712951366,0.16866017979910963,0.05593803193996505,18,1.947200404463611
C_momentum,z_move,30Y-10Y,"win=126,k=0.3",baseline,0.2091995478396999,0.2409692736836099,0.03978591730321668,0.09457915902560997,-0.23607758712951155,0.16852898992647797,0.055907060951377985,16,1.9462107722190316
C_momentum,z_move,30Y-10Y,"win=126,k=0.2",baseline,0.2091995478396999,0.2409692736836099,0.03978591730321668,0.09457915902560997,-0.23607758712951155,0.16852898992647797,0.055907060951377985,16,1.9462107722190316
A_blend,z_move,30Y-10Y,w_rr=0.9,baseline,0.2091541184917039,0.24082953419905095,0.03977696221554794,0.09455688636765903,-0.23607758712951188,0.16849105711050133,0.055898105863709246,13,1.9459247138646043
A_blend,z_move,5Y2Y+30Y10Y,w_rr=0.9,baseline,0.2091541184917039,0.24082953419905095,0.03977696221554794,0.09455688636765903,-0.23607758712951188,0.16849105711050133,0.055898105863709246,13,1.9459247138646043
A_blend,z_move,full_3seg,w_rr=0.9,baseline,0.2091541184917039,0.24082953419905095,0.03977696221554794,0.09455688636765903,-0.23607758712951188,0.16849105711050133,0.055898105863709246,13,1.9459247138646043
A_blend,z_move,30Y-2Y,w_rr=0.9,baseline,0.2091541184917039,0.24082953419905095,0.03977696221554794,0.09455688636765903,-0.23607758712951188,0.16849105711050133,0.055898105863709246,13,1.9459247138646043
A_blend,z_move,10Y2Y+30Y10Y,w_rr=0.9,baseline,0.2091541184917039,0.24082953419905095,0.03977696221554794,0.09455688636765903,-0.23607758712951188,0.16849105711050133,0.055898105863709246,13,1.9459247138646043
A_blend,z_move,10Y-2Y,w_rr=0.9,baseline,0.2091541184917039,0.24082953419905095,0.03977696221554794,0.09455688636765903,-0.23607758712951188,0.16849105711050133,0.055898105863709246,14,1.9459247138646043
C_momentum,z_move,butterfly,"win=63,k=0.2",baseline,0.2091008696425701,0.24079977944823708,0.03977216449105603,0.09455802132652003,-0.2360775871295131,0.16847073445069083,0.055893308139217335,14,1.9457714732267506
C_momentum,z_move,10Y2Y+30Y10Y,"win=126,k=0.3",optimized,0.20871506111045224,0.2533754996581837,0.04148157877719583,0.10292299301691386,-0.23607758712951155,0.1757116348128344,0.057602722425357133,31,2.001095701104763
C_momentum,z_move,30Y-2Y,"win=126,k=0.3",optimized,0.20871506111045224,0.2533754996581837,0.04148157877719583,0.10292299301691386,-0.23607758712951155,0.1757116348128344,0.057602722425357133,31,2.001095701104763
C_momentum,z_move,5Y2Y+30Y10Y,"win=126,k=0.2",optimized,0.20871506111045224,0.2533754996581837,0.04148157877719583,0.10292299301691386,-0.23607758712951155,0.1757116348128344,0.057602722425357133,28,2.001095701104763
C_momentum,z_move,full_3seg,"win=126,k=0.3",optimized,0.20871506111045224,0.2533754996581837,0.04148157877719583,0.10292299301691386,-0.23607758712951155,0.1757116348128344,0.057602722425357133,31,2.001095701104763
A_blend,z_move,5Y-2Y,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,17,1.9438373199284256
A_blend,z_move,butterfly,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,15,1.9438373199284256
A_blend,z_move,10Y2Y+30Y10Y,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,16,1.9438373199284256
A_blend,z_move,30Y-2Y,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,16,1.9438373199284256
A_blend,z_move,10Y-2Y,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,17,1.9438373199284256
A_blend,z_move,30Y-10Y,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,15,1.9438373199284256
A_blend,z_move,full_3seg,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,16,1.9438373199284256
A_blend,z_move,10Y2Y+10Y3M,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,17,1.9438373199284256
A_blend,z_move,5Y2Y+30Y10Y,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,17,1.9438373199284256
A_blend,z_move,10Y-5Y,w_rr=0.9,baseline,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,13,1.9438373199284256
A_blend,z_move,10Y2Y+5Y2Y,w_rr=0.9,optimized,0.20841102284968377,0.2401012999792627,0.03971157858141616,0.0945803072788195,-0.23607758712951188,0.1682140988658548,0.05583272222957747,17,1.9438373199284256
C_momentum,z_move,butterfly,"win=21,k=0.2",optimized,0.2083577999375775,0.24007136667243914,0.0397067811586167,0.09458144194515737,-0.2360775871295131,0.168193777483982,0.055827924806778007,18,1.9436842436718431
A_blend,z_move,10Y-5Y,w_rr=0.9,optimized,0.2083577999375775,0.24007136667243914,0.0397067811586167,0.09458144194515737,-0.2360775871295131,0.168193777483982,0.055827924806778007,16,1.9436842436718431
C_momentum,z_move,10Y-5Y,"win=21,k=0.2",baseline,0.20581518272950358,0.23717255853263589,0.03946794894533423,0.09458946948010313,-0.23607758712951366,0.16718210917532744,0.05558909259349554,19,1.9360779101454493
C_momentum,z_move,30Y-10Y,"win=21,k=0.3",baseline,0.20581518272950358,0.23717255853263589,0.03946794894533423,0.09458946948010313,-0.23607758712951366,0.16718210917532744,0.05558909259349554,15,1.9360779101454493
C_momentum,z_move,10Y-5Y,"win=126,k=0.2",baseline,0.20581518272950358,0.23717255853263589,0.03946794894533423,0.09458946948010313,-0.23607758712951366,0.16718210917532744,0.05558909259349554,19,1.9360779101454493
C_momentum,z_move,30Y-10Y,"win=21,k=0.2",baseline,0.20581518272950358,0.23717255853263589,0.03946794894533423,0.09458946948010313,-0.23607758712951366,0.16718210917532744,0.05558909259349554,16,1.9360779101454493
C_momentum,z_move,30Y-10Y,"win=21,k=0.2",optimized,0.20576200833072913,0.23714225681099985,0.039463152646687094,0.09459060399237174,-0.23607758712951155,0.16716179255524885,0.0555842962948484,19,1.9359254449386656
C_momentum,z_move,30Y-10Y,"win=63,k=0.2",baseline,0.20576200833072913,0.23714225681099985,0.039463152646687094,0.09459060399237174,-0.23607758712951155,0.16716179255524885,0.0555842962948484,16,1.9359254449386656
C_momentum,z_move,30Y-10Y,"win=63,k=0.2",optimized,0.20576200833072913,0.23714225681099985,0.039463152646687094,0.09459060399237174,-0.23607758712951155,0.16716179255524885,0.0555842962948484,20,1.9359254449386656
C_momentum,z_move,30Y-2Y,"win=126,k=0.2",baseline,0.20548792403139599,0.23679537428746367,0.03943698834992038,0.09458944335313177,-0.23607758712951155,0.1670509633270919,0.05555813199808168,20,1.9350939307237702
C_momentum,z_move,30Y-2Y,"win=21,k=0.2",baseline,0.20548792403139599,0.23679537428746367,0.03943698834992038,0.09458944335313177,-0.23607758712951155,0.1670509633270919,0.05555813199808168,19,1.9350939307237702
C_momentum,z_move,10Y2Y+30Y10Y,"win=21,k=0.2",baseline,0.20548792403139599,0.23679537428746367,0.03943698834992038,0.09458944335313177,-0.23607758712951155,0.1670509633270919,0.05555813199808168,19,1.9350939307237702
