combo,k_slope,yc_cw,k_yc,term_zw,k_term,tl_c,ts_c,tl_s,adapt_days,adapt_raise,max_hold_days,sharpe,sortino,calmar,mdd,n_events,n_dead,win_rate,min_excess,ann_ret,score
RR + Slope + YC + Term,1.0,84,0.2,252,0.4,-3.75,3.75,-3.0,0,0.0,0,0.4870108799304677,0.5285591296842977,0.31543858944724396,-0.19663852284384076,76,2,0.7222222222222222,-0.18667545268935104,0.062027378276850786,0.28896857211292415
RR + Slope + Term,1.0,42,0.0,126,0.5,-4.0,3.75,-2.75,0,0.0,0,0.4346744381607043,0.4718329950607048,0.28784414767901517,-0.19879327871415864,99,2,0.6666666666666666,-0.15694355921917835,0.0572214818757939,0.25449526385018095
RR + Slope + YC,1.0,84,0.3,126,0.0,-2.75,3.5,-2.625,0,0.0,0,0.4074307385923228,0.44596634706082944,0.2754895140294945,-0.19663852284384087,101,3,0.7222222222222222,-0.18830078928162708,0.054171851097727375,0.20890786837570283
RR + Slope,0.5,42,0.0,126,0.0,-2.75,2.5,-3.0,0,0.0,0,0.3739246220359085,0.42984070586586504,0.2772222745496167,-0.20418342220560493,69,4,0.8333333333333334,-0.17092087178480408,0.056604192729162506,0.16754321449028226
RR + YC + Term,0.0,42,0.3,252,0.4,-2.75,2.75,-3.5,63,0.75,252,0.25577855819234707,0.27294398084701876,0.27975271200109847,-0.1515294666547099,54,3,0.6666666666666666,-0.08757293898121832,0.04239077924473511,0.12279003524408219
RR + Term,0.0,42,0.0,126,0.5,-2.75,2.75,-3.0,0,0.0,0,0.1737073947213163,0.17510679539453972,0.2273141044174199,-0.15152946665471034,70,2,0.6666666666666666,-0.07507752883929464,0.03444478500546477,0.09979757434835923
RR + YC,0.0,84,0.4,126,0.0,-3.0,2.5,-4.0,63,0.75,252,0.15830964795499586,0.18915115588539433,0.16479796411811753,-0.20401821586267932,26,3,0.6111111111111112,-0.07607564366914121,0.03362178661718018,0.05407273045281277
RR only,0.0,42,0.0,126,0.0,-3.5,2.375,-4.125,63,0.75,252,0.13659027703982943,0.1718742868465565,0.1396804892690036,-0.23607758712951266,27,4,0.6111111111111112,-0.07640339918662997,0.03297543287569615,0.009389144556530865
