split,train_sharpe,test_sharpe,train_ann,test_ann,delta_sharpe,train_dead,test_dead
2009-2015 / 2016-2026,0.09898973372825703,0.6784286182877056,0.031584736729041385,0.07721616621387462,0.5794388845594486,2,1
2009-2017 / 2018-2026,0.11878005736276569,0.8836745155671835,0.03319005555275756,0.09497470423276,0.7648944582044178,3,0
2009-2019 / 2020-2026,0.24389159498343882,0.6353663585019282,0.04638581603625069,0.06811428047434642,0.3914747635184894,3,0
2009-2012 / 2013-2018,0.38763820624646345,0.026757025515823863,0.06644224921646402,0.022535843848245696,-0.3608811807306396,1,1
2013-2018 / 2019-2026,0.026757025515823863,0.7638605856007716,0.022535843848245696,0.08498960463191385,0.7371035600849478,1,0
2009-2017 / 2018-2026 (reopt),0.1762138357427895,0.3600941593751708,0.0,0.05543824577930634,0.1838803236323813,0,1
2009-2019 / 2020-2026 (reopt),0.28234144481072554,0.44109636638504224,0.0,0.0376288583751303,0.1587549215743167,0,2
