strategy,BEAR_FLAT/CALM,BEAR_FLAT/STRESS,BEAR_STEEP/CALM,BEAR_STEEP/STRESS,BULL_FLAT/CALM,BULL_FLAT/STRESS,BULL_STEEP/CALM,BULL_STEEP/STRESS
steep_2s5s,-2.4016649797798495,-1.360363861938825,0.7317382605238456,0.7177982883959619,-4.745168775212063,-4.545995225408848,-2.1410216780555054,-0.8016183078229309
steep_5s10s,-3.542868718070818,-2.7804615757995013,0.3940558115663375,0.5815247190923925,-3.0718504676873035,-2.4792288746801123,1.6689316490278296,1.6533527036954225
steep_10s20s,-1.767318856396193,-2.6165639742241398,-3.0464130165491903,-2.2086271137772644,2.4996185302732825,3.136962459163525,1.6186887084917478,0.1459790369715666
steep_20s30s,-0.5928184903917603,1.4209111267940615,2.3087275942968883,2.4950123363064933,-3.080081516214874,-3.4088104204962133,0.39416739224266306,1.0949047884952199
steep_2s10s,-2.596235990121247,-1.641496765782133,1.4848521048751153,1.5024898146939745,-4.409407844401163,-4.061777193511081,-0.21097516802287655,0.6378020535014557
steep_2s30s,-3.115710875608041,-1.915248095266616,1.1491967050230452,1.8106631475866868,-3.3759209837893627,-3.1852160140606887,1.7914973516230563,1.6920634379353066
steep_5s30s,-3.2444534340609303,-2.0672288890072568,0.01412280863446694,1.1526088097765557,-1.5305806511138544,-1.277758633792749,3.98474741111897,2.6735450144682207
steep_10s30s,-3.3033426008186684,-1.671437567879819,-0.9421158004872592,0.5736619407056887,-0.6064301081135948,-0.38974988282648004,3.9387982893252906,2.484111107339231
flat_10s2s,-0.20099692460831847,-0.28718201174723745,-3.651785634552919,-3.2962074574591176,1.7169540210990537,2.2935121058231274,-2.052577877456927,-1.9787847976185706
flat_30s2s,1.259018983127158,0.6569064551735516,-2.8199818899476075,-3.0969880280778366,1.48535239271977,1.9277917252077896,-3.4253871143895585,-2.534084192886002
flat_30s5s,2.0295921851504133,1.3151021165260708,-1.1002489317448363,-1.9732644757789841,0.28512704609050893,0.4474206592698125,-5.2334416428508534,-3.282540355974539
flat_30s10s,2.045390495680637,0.9792628812105725,-0.03298748802695638,-1.380615951149113,-0.6108394564008303,-0.41492169506859594,-5.2599133083212415,-3.136392729051803
bfly_2s5s10s_pos,-0.7310164200260877,0.0657504413200584,-2.8017823649219897,-1.9311580116844396,-1.5904970394197386,-1.0586176734743509,-5.724059190911232,-3.564367901823797
bfly_2s5s10s_neg,-4.24165729378799,-3.699424677762133,-1.3537257981374955,-0.47828644083775423,-2.675862398009021,-1.8471687926405909,1.1648659155374532,1.1883383301941453
bfly_2s10s30s_pos,1.6631714612441282,0.7630195243627216,0.2125923367290946,-1.1265689642442411,-1.3732981919915728,-1.1146695291701711,-5.489686223872186,-3.2972012196983784
bfly_2s10s30s_neg,-3.455300385632451,-1.7220653966137143,-1.5195816603477945,0.01609641340653793,-0.3175455669563352,0.0020942493833894047,3.608975570504128,2.31719434749757
bfly_5s10s30s_pos,1.53956219485345,0.5979431846654824,0.03785738758430224,-1.2446450149792265,-1.2861350640375242,-0.9559086340616166,-5.297976305476193,-3.1051826717617272
bfly_5s10s30s_neg,-3.5912394985296485,-1.6821299604969173,-1.5092961979787127,0.050445626769487106,-0.5861210663299729,-0.2732815093552382,3.1896370625764003,2.037747151769704
bh_tlt,-0.8916269174147929,-1.7303618667954843,-3.0703539623336313,-3.1447066843698828,3.1165799596775896,3.671560186606252,0.6815980165173252,-0.4912167991942505
bh_shv,-1.481962650416116,-3.0889444461448696,-1.9377213376853897,-2.8285184481028955,-1.7332787075180187,-1.990628743177698,-0.6288773471379078,-0.6539450813313222
bh_ief,-2.04248000368088,-2.036770240755189,-3.0946570999000316,-2.7505165565851053,2.8992907654857114,3.653372244020319,2.334259838561771,0.6422191611859908
bh_50_50,-0.9645276688341378,-1.7915401183644795,-3.133096170074301,-3.191510552668204,3.034659874980919,3.6138206620400455,0.6310362491794735,-0.5084105692408689
barbell_shy_tlt,-2.515703894848071,-2.570740081875031,-3.08416042368653,-2.9444450964511524,2.1283894517235935,3.1377073933577355,1.8094097368205386,0.4294677782237012
barbell_shy_ief,-2.944037416727236,-2.5533939590414088,-2.969271851256019,-2.535035330212178,1.913240243049241,2.9425189977095747,2.546573394944188,1.0225955710538128
barbell_iei_tlt,-1.9355187705428039,-2.2239892966496857,-3.107675928429174,-2.930910419980397,2.8467982349311236,3.7492136662440214,2.1072739801395177,0.46473614735426316
