,BEAR_FLAT/CALM,BEAR_FLAT/STRESS,BEAR_STEEP/CALM,BEAR_STEEP/STRESS,BULL_FLAT/CALM,BULL_FLAT/STRESS,BULL_STEEP/CALM,BULL_STEEP/STRESS
BEAR_FLAT/CALM,0.7616959064327485,0.008771929824561403,0.11695906432748537,0.0,0.09649122807017543,0.0029239766081871343,0.013157894736842105,0.0
BEAR_FLAT/STRESS,0.01809954751131222,0.7692307692307693,0.013574660633484163,0.07692307692307693,0.0,0.10407239819004525,0.0,0.01809954751131222
BEAR_STEEP/CALM,0.06978879706152434,0.0009182736455463728,0.8236914600550964,0.010101010101010102,0.02662993572084481,0.0009182736455463728,0.06703397612488522,0.0009182736455463728
BEAR_STEEP/STRESS,0.0,0.04225352112676056,0.035211267605633804,0.823943661971831,0.0,0.025821596244131457,0.0,0.07276995305164319
BULL_FLAT/CALM,0.07000946073793755,0.0,0.020813623462630087,0.0,0.8372753074739829,0.013245033112582781,0.05771050141911069,0.000946073793755913
BULL_FLAT/STRESS,0.004008016032064128,0.050100200400801605,0.002004008016032064,0.036072144288577156,0.018036072144288578,0.8296593186372746,0.0,0.06012024048096192
BULL_STEEP/CALM,0.01282051282051282,0.0,0.1517094017094017,0.0,0.1452991452991453,0.0,0.6794871794871795,0.010683760683760684
BULL_STEEP/STRESS,0.0,0.002793296089385475,0.0,0.08100558659217877,0.0,0.09776536312849161,0.019553072625698324,0.7988826815642458
