year,sharpe,ann_ret,vol,mdd,hit_rate,n_days,mode
2012,1.2243791662020935,0.11442522750057593,0.07442637422552766,-0.036925859654751716,0.5418326693227091,251,LOOKUP
2013,1.9182008574886713,0.20732430407858526,0.08993430123627823,-0.03325209382575074,0.5476190476190477,252,LOOKUP
2014,-0.4097197556182647,-0.013925390619734634,0.07598841146620952,-0.07238687755903572,0.4603174603174603,252,LOOKUP
2015,1.002954829180826,0.1193393727703711,0.0972014003140581,-0.07382224716441585,0.5515873015873016,252,LOOKUP
2016,-0.8458512477381154,-0.058932070673034964,0.09058870096829658,-0.1251157708551843,0.4642857142857143,252,LOOKUP
2017,-0.27285954964122644,3.900163101500098e-05,0.06532944572796176,-0.05668434723907006,0.5338645418326693,251,LOOKUP
2018,1.4501047892186585,0.10114051313448269,0.053653860661449115,-0.039885663466288884,0.5577689243027888,251,LOOKUP
2019,0.28421044774437254,0.038972172206541256,0.07370197701672616,-0.067983321609512,0.49603174603174605,252,LOOKUP
2020,0.49095904833456827,0.06554266455367586,0.0984754897841928,-0.07500291104183643,0.5335968379446641,253,LOOKUP
2021,0.15018111574065449,0.029660263034761325,0.08621016697711267,-0.06230738176158346,0.5378486055776892,251,LOOKUP
2022,1.9595112426894816,0.2576232993476377,0.10989593732954056,-0.09103006899401499,0.5378486055776892,251,LOOKUP
2023,1.126770951831035,0.24208782973681453,0.19087493993369573,-0.12749273149175053,0.54,250,LOOKUP
2024,0.33128330261023936,0.05456221929743288,0.12285441227252457,-0.10611830992467805,0.5714285714285714,252,LOOKUP
2025,0.3673765778414392,0.05749391102742751,0.11597178151866999,-0.08052214570120478,0.5099601593625498,251,LOOKUP
2012,1.6665003875700006,0.13839339859916855,0.0671400627698842,-0.030188792748678004,0.549800796812749,251,ENSEMBLE
2013,1.8150507708119774,0.13659671555573016,0.06055047255772993,-0.022475201098477268,0.5634920634920635,252,ENSEMBLE
2014,-0.8476717032445031,-0.029898901292016555,0.05745375281298916,-0.06500262549877112,0.4603174603174603,252,ENSEMBLE
2015,0.7730309393984677,0.10200150447708412,0.10724741651346745,-0.09056832269272262,0.5634920634920635,252,ENSEMBLE
2016,-0.5921255752441283,-0.036557390201042206,0.08984479687148127,-0.12165701330989588,0.4642857142857143,252,ENSEMBLE
2017,-0.15994248518139736,0.004391402254085186,0.07841598974476394,-0.06452191833187355,0.5059760956175299,251,ENSEMBLE
2018,1.1546376425283327,0.08696682230113217,0.05628343326639084,-0.05232028280032584,0.5418326693227091,251,ENSEMBLE
2019,0.8725267219984559,0.10225054391497235,0.09369315655221991,-0.06493811053021313,0.5158730158730159,252,ENSEMBLE
2020,0.4688044817185191,0.07339625112145498,0.12530631625420918,-0.11898260082703582,0.5375494071146245,253,ENSEMBLE
2021,0.42678867171981766,0.060113561221273315,0.1021351113188791,-0.056835826506492625,0.5179282868525896,251,ENSEMBLE
2022,1.4569496479470034,0.23324006856272717,0.13658475982800403,-0.10688528534440456,0.5418326693227091,251,ENSEMBLE
2023,0.8812818644277527,0.1322122372794179,0.12744836415577215,-0.09512391051075507,0.536,250,ENSEMBLE
2024,0.01834203911145896,0.01844159313220395,0.07978811692894693,-0.07792128035344269,0.5396825396825397,252,ENSEMBLE
2025,0.05646939384704876,0.02158454219963346,0.07863579354253689,-0.05944434735933605,0.5139442231075697,251,ENSEMBLE
