signal,change_win,z_win,group,tl,ts,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
k0.00,10,63,all_6,-3.0,0.5,-0.1546032913230089,-0.15125703657872755,-0.014363411329294973,0.15008582883223404,-0.5279546898707107,-0.02720576520082128,-0.2191590945955173,11
k0.00,10,63,all_6,-3.0,1.0,-0.15276534726158764,-0.1496536407937238,-0.013924522644703119,0.14952521953255385,-0.5248706347513517,-0.026529437394224996,-0.2131924050087156,11
k0.00,10,63,all_6,-3.0,1.5,-0.15379896967595372,-0.15055559290109088,-0.01384510827994212,0.14874607365764148,-0.528139177209613,-0.026214885919071174,-0.21210819110475387,11
k0.00,10,63,all_6,-3.0,2.0,-0.12817822735717282,-0.12711387726011597,-0.00921657715999602,0.14558612288001693,-0.5344693783778687,-0.017244350252522644,-0.14642929307154284,11
k0.00,10,63,all_6,-3.0,2.5,-0.2217822751153643,-0.22239612973239087,-0.01996176872226252,0.13809472342768084,-0.5604549337687283,-0.03561708090966639,-0.2916260936807953,9
k0.00,10,63,all_6,-3.0,3.0,-0.10408719193295919,-0.11259033068692356,0.0019288783941022736,0.11267955212099091,-0.3448725654891701,0.0055930177901113605,0.033499401578721555,5
k0.00,10,63,all_6,-2.5,0.5,-0.22744938662870795,-0.2248311139910845,-0.023017714437952752,0.14444496171384427,-0.5343552134165993,-0.04307568048373742,-0.3284622786994461,47
k0.00,10,63,all_6,-2.5,1.0,-0.23025406235569285,-0.22815443903400748,-0.022853880776010138,0.14291315281635464,-0.5299349479246035,-0.04312582301943535,-0.3265340916835102,45
k0.00,10,63,all_6,-2.5,1.5,-0.17630550763785988,-0.17471145212319644,-0.013805608714282491,0.1381585943040725,-0.5071849152489006,-0.027220069641675757,-0.211568394987515,41
k0.00,10,63,all_6,-2.5,2.0,-0.17913726189473184,-0.1787071238962132,-0.011045486245179426,0.12795275856815458,-0.5377338694927298,-0.02054080442356953,-0.17297459818858874,40
k0.00,10,63,all_6,-2.5,2.5,-0.3595296276297606,-0.37213363825412904,-0.02559371556166634,0.11070267656807711,-0.5138242085845717,-0.049810256375753856,-0.3581046333232848,26
k0.00,10,63,all_6,-2.5,3.0,-0.3226059883995994,-0.34684273310057306,-0.0146134940734437,0.09395570199204131,-0.37391949636633703,-0.03908192596388861,-0.22253988807177683,13
k0.00,10,63,all_6,-2.0,0.5,-0.16689880461214338,-0.16774215806926532,-0.01264997215833219,0.1385833096703708,-0.5271696790143043,-0.02399601620105496,-0.19562062005519287,93
k0.00,10,63,all_6,-2.0,1.0,-0.12445326840161598,-0.12595670196874872,-0.00584769708231625,0.13482322559401874,-0.4686195750918752,-0.012478559140790865,-0.09541995560821248,85
k0.00,10,63,all_6,-2.0,1.5,-0.10899213831931823,-0.1098528327941121,-0.002041778344863854,0.12759222856754593,-0.46138659737669746,-0.00442530917992152,-0.03434483438931346,73
k0.00,10,63,all_6,-2.0,2.0,-0.15690683960178017,-0.1592208682104221,-0.004156981031221196,0.11318940079738253,-0.42976497726406526,-0.009672684493010645,-0.06875160101933142,60
k0.00,10,63,all_6,-2.0,2.5,-0.22549813783856945,-0.23726636031702214,-0.00718798768976503,0.09897563808943574,-0.368284080959502,-0.019517508525043876,-0.11604820359096224,34
k0.00,10,63,all_6,-2.0,3.0,-0.23005636262998963,-0.250761411213725,-0.0036470864785361767,0.08655611109089431,-0.2647748577771806,-0.01377429303202707,-0.060564655781267906,15
k0.00,10,63,all_6,-1.5,0.5,-0.3290610572637748,-0.33185639844348536,-0.03101135215932871,0.1305912296757954,-0.5210719001543863,-0.05951453561426068,-0.4164736902746973,153
k0.00,10,63,all_6,-1.5,1.0,-0.3058092524387412,-0.31193311187281086,-0.02517606795170413,0.12374392327156972,-0.4714706019526523,-0.053399019678924645,-0.35338390324763547,133
k0.00,10,63,all_6,-1.5,1.5,-0.23181524174537482,-0.23649887464072877,-0.01292349638574053,0.11424503898106489,-0.43666787532341994,-0.029595711331337773,-0.19942245577107698,107
k0.00,10,63,all_6,-1.5,2.0,-0.152053654129792,-0.15591833111812148,0.0006322868366175349,0.09666342322516351,-0.2928000717583569,0.002159449049381897,0.010866805961630366,70
k0.00,10,63,all_6,-1.5,2.5,-0.23976565485284712,-0.25447009076098187,-0.002956539194452157,0.081818513895305,-0.24293538498661782,-0.012170064046515985,-0.04936904770644934,36
k0.00,10,63,all_6,-1.5,3.0,-0.16805373148261774,-0.18641289781889778,0.0058120640960899195,0.06998544499139107,-0.15727713234864843,0.03695428578393625,0.1041700768667293,17
k0.00,10,63,all_6,-1.0,0.5,-0.33887229668819413,-0.34644165754938333,-0.02780891068044722,0.12073625278972064,-0.4311788091612566,-0.06449507742400894,-0.38260558004375167,215
k0.00,10,63,all_6,-1.0,1.0,-0.3555940165778486,-0.36553304047685165,-0.025386318921527318,0.1111780516828197,-0.3819112591460061,-0.06647177404063397,-0.3557644705018017,175
k0.00,10,63,all_6,-1.0,1.5,-0.21955390070918082,-0.22690687434347306,-0.007099430731040135,0.10053605517388967,-0.28820394399267363,-0.024633357311795178,-0.11469901685857165,125
k0.00,10,63,all_6,-1.0,2.0,-0.23798431219302196,-0.24581462108673463,-0.0037073834477017176,0.0846086245415545,-0.2291638024814213,-0.016177875421674773,-0.06153631412829352,76
k0.00,10,63,all_6,-1.0,2.5,-0.36751284800155787,-0.39042495334343097,-0.007369407967014463,0.06821979161711995,-0.21977440058001363,-0.03353169408068284,-0.11880614247680199,40
k0.00,10,63,all_6,-1.0,3.0,-0.2766798445410874,-0.3028069104681861,0.0014834590366381573,0.060356331221033115,-0.1572771323486485,0.009432134312759834,0.025671147201270283,17
k0.00,10,63,all_6,-0.5,0.5,-0.4481578422019043,-0.4545753317029874,-0.035335056374505514,0.11110527705770656,-0.4785257195284266,-0.07384149886306467,-0.45943180839101594,263
k0.00,10,63,all_6,-0.5,1.0,-0.4838908973243691,-0.4918408093088671,-0.03346261116524374,0.10109013664301905,-0.4630071653337321,-0.07227233976200809,-0.44120721021426534,203
k0.00,10,63,all_6,-0.5,1.5,-0.3369600449651728,-0.3441573662235793,-0.013415047202412711,0.08794052762804626,-0.3263142596045944,-0.041110821263735636,-0.2062122549558152,135
k0.00,10,63,all_6,-0.5,2.0,-0.34854482125443526,-0.35328119563004745,-0.008081450956618497,0.07299720386560196,-0.28136409386641625,-0.02872239611517503,-0.12955247015187443,78
k0.00,10,63,all_6,-0.5,2.5,-0.4947364067001285,-0.4987192656314059,-0.012350940576612124,0.06168492408859357,-0.2816053679501265,-0.043859038151572195,-0.1914447988214263,40
k0.00,10,63,all_6,-0.5,3.0,-0.4295841168629292,-0.4372088740573159,-0.004627642829764911,0.05395113838173722,-0.17153064978260174,-0.02697851862410592,-0.07624895632465989,17
k0.00,10,126,all_6,-3.0,0.5,-0.1672679264011925,-0.1637761235034422,-0.0157189791194019,0.14842886639172695,-0.5047591176162647,-0.031141545681502698,-0.23732017266657335,17
k0.00,10,126,all_6,-3.0,1.0,-0.12079754345620188,-0.11877160956596924,-0.008531251220592284,0.1470224738840294,-0.4714307586284561,-0.018096509539200285,-0.13627724429391108,15
k0.00,10,126,all_6,-3.0,1.5,-0.13468378413382726,-0.1323878969175586,-0.01019930634267241,0.14574527374199953,-0.48742752894625185,-0.02092476468188377,-0.16079101683557828,15
k0.00,10,126,all_6,-3.0,2.0,-0.15802781570682894,-0.15701981094400308,-0.011338575450970723,0.13824752797299553,-0.48102411744136225,-0.02357174004347696,-0.17715562127183104,15
