year,strategy,benchmark,excess,n_trades
2009,-0.10393221030721733,-0.2468370339338093,0.14290482362659196,7
2010,0.12025060734940718,0.047057514740240114,0.07319309260916707,2
2011,0.22195592736537995,0.2882490437739065,-0.06629311640852653,7
2012,-0.10751660204899116,-0.0005773195876266346,-0.10693928246136453,17
2013,-0.1161241925260591,-0.15943224954612967,0.04330805702007057,2
2014,0.1373138841942121,0.23620655802081458,-0.0988926738266025,7
2015,0.011043999009748617,-0.04240787801778967,0.053451877027538286,4
2016,0.15302890379450362,-0.012025211477855069,0.1650541152723587,5
2017,-0.006857333474883931,0.06488709812809224,-0.07174443160297617,7
2018,0.0382166513566613,-0.04217247359293741,0.08038912494959871,6
2019,0.1591817005569347,0.11496996132005388,0.04421173923688082,3
2020,0.14983131584509324,0.16423088278712572,-0.014399566942032482,4
2021,0.061972081388575795,-0.06048310403854573,0.12245518542712153,1
2022,-0.1272113372803766,-0.3281597948579532,0.20094845757757662,6
2023,0.17836422801568386,-0.006830052229810701,0.18519428024549456,8
2024,-0.0025324446289958225,-0.11680825242718507,0.11427580779818924,3
2025,-0.018596987024828926,-0.0019466391847020592,-0.016650347840126867,8
2026,0.012262637271183818,0.028223955943092127,-0.01596131867190831,1
