year,strat_ret,bm_ret,excess,vol,n_events
2009,-0.1316496346905236,-0.2511445094098719,0.11949487471934828,0.09276405615650268,0
2010,0.06746542226517604,0.04739999111567905,0.020065431149496993,0.05391214131577596,2
2011,0.31472683915887867,0.31472683915887867,0.0,0.20018991497340144,2
2012,-0.008921521388566389,-0.008921521388566389,0.0,0.14041113934130417,6
2013,-0.15943224954612967,-0.15943224954612967,0.0,0.1258107502403615,5
2014,0.19456203061742072,0.23620655802081458,-0.04164452740339386,0.09267841998882424,2
2015,-0.03185337088947071,-0.04240787801778967,0.010554507128318957,0.12486490389586388,6
2016,-0.028940538488765988,-0.012025211477855069,-0.01691532701091092,0.042183039865367755,7
2017,0.06488709812809224,0.06488709812809224,0.0,0.09737323811103078,0
2018,0.018884974289359313,-0.04217247359293741,0.06105744788229672,0.08644986604026939,5
2019,0.11496996132005388,0.11496996132005388,0.0,0.11961000218897645,1
2020,0.2590167579731735,0.16423088278712572,0.09478587518604775,0.08605762020933533,1
2021,0.11136127681891361,-0.058093151505009044,0.16945442832392266,0.07016856969111525,4
2022,-0.004528165187464905,-0.3281597948579532,0.3236316296704883,0.005498508574294448,2
2023,0.16316884735990844,-0.006830052229810701,0.16999889958971914,0.10332980288549194,2
2024,-0.001943149551984935,-0.11680825242718507,0.11486510287520013,0.11137687605174894,2
2025,0.06627157194831357,-0.0019466391847020592,0.06821821113301563,0.07312365424917094,3
2026,0.030254511508053472,0.028223955943092127,0.002030555564961345,0.06987995523333486,2
