date,strategy,benchmark_tlt,weight_tlt,net_return,z_composite,regime
2009-01-02,0.9866619256334314,0.9748638458315878,0.5,-0.013338074366568642,2.3848396563077348,STRESS
2009-01-05,0.9742998161170203,0.9497276916631755,0.5,-0.01252922525461253,1.6936467115523084,STRESS
2009-01-06,0.9696212111786362,0.9401759530791789,0.5,-0.004802017675657744,1.1393309865624779,STRESS
2009-01-07,0.9716101276093065,0.9438625890238794,0.5,0.0020512303234917484,0.8601689249334401,STRESS
2009-01-08,0.9706938085473575,0.9431085043988271,0.5,-0.0009430933621529802,0.34036806817164705,STRESS
2009-01-09,0.9717790098615634,0.9445328864683704,0.5,0.0011179645987747788,0.34543129356642305,STRESS
2009-01-12,0.977086188625739,0.9543359865940512,0.5,0.005461302117373057,0.22610342070333828,STRESS
2009-01-13,0.9776008960121969,0.9553414327607875,0.5,0.0005267778753291763,-0.18754219376636203,STRESS
2009-01-14,0.9857489605601286,0.9710934227063259,0.5,0.00833475560545105,0.10252765227012978,STRESS
2009-01-15,0.9862444688230675,0.972685379136992,0.5,0.0005026718594330348,0.17836968683745513,STRESS
2009-01-16,0.9786856730344932,0.957687473816506,0.5,-0.007664221222547896,0.30341672290189586,STRESS
2009-01-20,0.9786000487411393,0.9575198994553832,0.5,-8.748906386701893e-05,0.3550444139499942,STRESS
2009-01-21,0.9629661484495202,0.9272727272727271,0.5,-0.015975781231290787,0.6655179596351642,STRESS
2009-01-22,0.9538302731821711,0.9094260578131546,0.5,-0.009487223701538094,0.7050216734642942,STRESS
2009-01-23,0.9502683378460697,0.9023041474654376,0.5,-0.003734349219403632,0.584549549990682,STRESS
2009-01-26,0.9459488251896229,0.8944281524926685,0.5,-0.004545571481669786,0.8565074527485886,STRESS
2009-01-27,0.9571555464248618,0.9154587348135735,0.5,0.011847069246047726,0.4481154814175199,STRESS
2009-01-28,0.9451976723550289,0.8925848345203183,0.5,-0.012493135639758401,0.29682358625799377,STRESS
2009-01-29,0.9342645069476139,0.8720569752827817,0.5,-0.011567067638004525,0.44027886251547593,STRESS
2009-01-30,0.9327198989958816,0.8692919983242564,0.5,-0.0016532876291948106,0.5231668607768131,STRESS
2009-02-02,0.9400072183739042,0.8830330959363217,0.5,0.007812977278460309,0.5040475149042619,STRESS
2009-02-03,0.9286856482034456,0.8620025136154167,0.5,-0.01204413109725222,0.5250070987640563,STRESS
2009-02-04,0.9267660687552154,0.8589861751152073,0.5,-0.0020669851547115425,0.4474902207802889,STRESS
2009-02-05,0.9274671805216249,0.8597402597402596,0.5,0.0007565142812697712,0.4653496440561897,STRESS
2009-02-06,0.9257266249659839,0.8570590699622956,0.5,-0.0018766761694598566,0.9322296081774861,STRESS
2009-02-09,0.9273878716111713,0.859824046920821,0.5,0.0017945326410465645,0.7086196358492154,STRESS
2009-02-10,0.9375483622004681,0.8785085881860074,0.5,0.01095603134386991,0.323668837195304,STRESS
2009-02-11,0.9435437673240457,0.8899036447423543,0.5,0.006394768915713389,0.11320841023045242,STRESS
2009-02-12,0.939016306922551,0.881524926686217,0.5,-0.004798357594300917,0.2946180887246703,STRESS
2009-02-13,0.9265636734511291,0.8580645161290322,0.5,-0.013261360191105853,0.418762387751736,STRESS
2009-02-17,0.9408264798535894,0.8847926267281107,0.5,0.015393228561763173,0.27686511120122137,STRESS
2009-02-18,0.9370307122384813,0.8772517804775871,0.5,-0.004034503382280119,0.4665978866375312,STRESS
2009-02-19,0.928555555013896,0.8623376623376625,0.5,-0.009044695241993694,0.3077510864419357,STRESS
2009-02-20,0.933235238977762,0.8707163803938,0.5,0.005039745805834772,0.2673357435912987,STRESS
2009-02-23,0.9378846289693257,0.8787599497276918,0.5,0.00498201289168676,0.1826626233110016,STRESS
2009-02-24,0.9373502595210029,0.8778382907415166,0.5,-0.0005697603221304082,0.08722841348685578,STRESS
2009-02-25,0.9317674237444905,0.8677000418935904,0.5,-0.005955976135713914,0.03664856553585101,STRESS
2009-02-26,0.9269061344167315,0.8585672392124005,0.5,-0.0052172776208712635,0.4081959490062665,STRESS
2009-02-27,0.9243217759662118,0.8536237955592795,0.5,-0.002788155514955093,0.27082654345121393,STRESS
2009-03-02,0.9305468514167694,0.8653540008378718,0.5,0.006734749318277666,0.32539128527428385,STRESS
2009-03-03,0.9274384212876178,0.859572685379137,0.5,-0.0033404337722695576,0.5158783873764234,STRESS
2009-03-04,0.925398123996559,0.8556346878927524,0.5,-0.002199927503786281,0.33361509036324327,STRESS
2009-03-05,0.9382239992428336,0.8794302471721825,0.5,0.013859845739564447,-0.04214512521224438,STRESS
