date,signal,z_final,z_term_1w3m,weight,regime
2009-03-19,SHORT,-1.6067874024141306,-0.839917295863765,0.0,STRESS
2010-12-23,LONG,3.133183681041507,-0.02736118801715272,1.0,CALM
2011-08-11,SHORT,-2.7015586092989996,-0.9841273509241877,0.0,STRESS
2012-03-21,LONG,2.974040460031249,0.055305685324364744,1.0,CALM
2012-05-16,SHORT,-2.406693564582322,-1.5466377923286472,0.0,STRESS
2012-11-07,LONG,1.2129434091553208,0.2934282110430542,1.0,CALM
2014-05-19,SHORT,-2.0096337261628157,0.19766418115560025,0.0,CALM
2015-05-14,LONG,3.164773005297009,-0.24939656761255577,1.0,CALM
2016-01-20,SHORT,-1.4301939678041737,1.8551610211524685,0.0,STRESS
2016-11-11,LONG,6.513212206560288,2.746337125612853,1.0,STRESS
2017-09-07,SHORT,-0.9490011431781998,1.981503158095668,0.0,CALM
2018-05-17,LONG,5.335381858397291,1.2599779541968326,1.0,CALM
2018-08-14,SHORT,-1.6691110314508928,0.5067940612881744,0.0,CALM
2018-10-08,LONG,2.9165596333473847,-0.33489753215881957,1.0,STRESS
2018-10-29,SHORT,-2.041404651253163,-0.7876142094043438,0.0,STRESS
2019-03-04,LONG,3.0349348714732147,0.5640397792786953,1.0,CALM
2019-08-19,SHORT,0.16920006515376318,1.3500110300329116,0.0,CALM
2019-11-11,LONG,4.465194724574319,0.9604357317397543,1.0,STRESS
2020-03-10,SHORT,-2.5523108728809323,-2.639726944261468,0.0,STRESS
2021-03-16,LONG,3.9815217885643808,-0.49535311692765255,1.0,CALM
2021-07-21,SHORT,0.2085908096739677,3.8488683489417244,0.0,CALM
2023-02-22,LONG,3.571507071117517,0.1488034006761128,1.0,CALM
2023-03-16,SHORT,0.0508914696812337,-1.8081340281537042,0.0,STRESS
2023-10-04,LONG,3.099542745590158,2.8016207063384524,1.0,CALM
2024-08-06,SHORT,-2.7733650130702663,-0.551854685530423,0.0,STRESS
2025-05-23,LONG,2.00587269237452,0.3899418449789728,1.0,CALM
2025-10-15,SHORT,-2.398882942541161,0.5734542112268685,0.0,STRESS
