year,strat_ret,bm_ret,excess
2009,-0.06445008307720956,-0.2511445094098719,0.1866944263326623
2010,0.011380961610058637,0.04739999111567905,-0.036019029505620415
2011,0.15778327993970032,0.31472683915887867,-0.15694355921917835
2012,0.0944885584218853,-0.008921521388566389,0.1034100798104517
2013,-0.15943224954612967,-0.15943224954612967,0.0
2014,0.11446501973602263,0.23620655802081458,-0.12174153828479195
2015,0.014576134626125059,-0.04240787801778967,0.05698401264391473
2016,0.00932923394124563,-0.012025211477855069,0.0213544454191007
2017,0.07362031421672,0.06488709812809224,0.00873321608862776
2018,0.0476468697846939,-0.04217247359293741,0.08981934337763131
2019,0.23648231094262928,0.11496996132005388,0.1215123496225754
2020,0.25964692224786057,0.16423088278712572,0.09541603946073485
2021,0.09521710168106723,-0.058093151505009044,0.15331025318607627
2022,-0.004528165187464905,-0.3281597948579532,0.3236316296704883
2023,0.22792721718888376,-0.006830052229810701,0.23475726941869446
2024,-0.001443871487729842,-0.11680825242718507,0.11536438093945522
2025,0.0770966540981477,-0.0019466391847020592,0.07904329328284976
2026,0.0013617793917382048,0.028223955943092127,-0.026862176551353922
