date,strategy_pres,benchmark_tlt,weight_tlt,net_return,z_final,z_rr,z_yc,regime_hmm,regime_yc
2009-01-02,0.9866619256334314,0.9748638458315878,0.5,-0.013338074366568642,3.5089627686013833,3.30241949730844,1.0327163564647164,STRESS,BULL_FLAT
2009-01-05,0.9742998161170203,0.9497276916631755,0.5,-0.01252922525461253,2.627608960813246,2.422011090004388,1.027989354044289,STRESS,BULL_FLAT
2009-01-06,0.9696212111786362,0.9401759530791789,0.5,-0.004802017675657744,1.8848535525760237,1.6801952043919957,1.0232917409201405,STRESS,BULL_FLAT
2009-01-07,0.9716101276093065,0.9438625890238794,0.5,0.0020512303234917484,1.519154950773394,1.3154303249709642,1.0186231290121486,STRESS,BULL_FLAT
2009-01-08,0.9706938085473575,0.9431085043988271,0.5,-0.0009430933621529802,0.8162087726427529,0.6134121452195779,1.0139831371158752,STRESS,BULL_FLAT
2009-01-09,0.9717790098615634,0.9445328864683704,0.5,0.0011179645987747788,0.6999112160416082,0.6359861921799552,0.319625119308265,STRESS,BULL_STEEP
2009-01-12,0.977086188625739,0.9543359865940512,0.5,0.005461302117373057,0.5406750360406463,0.47675001217899327,0.319625119308265,STRESS,BULL_STEEP
2009-01-13,0.9776008960121969,0.9553414327607875,0.5,0.0005267778753291763,-0.01265869062935393,-0.07658371449100693,0.319625119308265,STRESS,BULL_STEEP
2009-01-14,0.9857489605601286,0.9710934227063259,0.5,0.00833475560545105,0.38087071967519226,0.31694569581353926,0.319625119308265,STRESS,BULL_STEEP
2009-01-15,0.9862444688230675,0.972685379136992,0.5,0.0005026718594330348,0.48345450361011066,0.41952947974845767,0.319625119308265,STRESS,BULL_STEEP
2009-01-16,0.9786856730344932,0.957687473816506,0.5,-0.007664221222547896,0.8033965005206397,0.6015222223718472,1.0093713907439628,STRESS,BULL_FLAT
2009-01-20,0.9786000487411393,0.9575198994553832,0.5,-8.748906386701893e-05,0.7543792682670029,0.6917859472261259,0.31296660520438485,STRESS,BULL_STEEP
2009-01-21,0.9629661484495202,0.9272727272727271,0.5,-0.015975781231290787,1.1981473792978385,1.1355540582569617,0.31296660520438485,STRESS,BULL_STEEP
2009-01-22,0.9538302731821711,0.9094260578131546,0.5,-0.009487223701538094,1.279215856830079,1.2166225357892022,0.31296660520438485,STRESS,BULL_STEEP
2009-01-23,0.9502683378460697,0.9023041474654376,0.5,-0.003734349219403632,1.1179028710931787,1.0553095500523018,0.31296660520438485,STRESS,BULL_STEEP
2009-01-26,0.9459488251896229,0.8944281524926685,0.5,-0.004545571481669786,1.4875141336350612,1.4249208125941843,0.31296660520438485,STRESS,BULL_STEEP
2009-01-27,0.9571555464248618,0.9154587348135735,0.5,0.011847069246047726,0.9498247807910484,0.8872314597501714,0.31296660520438485,STRESS,BULL_STEEP
2009-01-28,0.9451976723550289,0.8925848345203183,0.5,-0.012493135639758401,0.7650015841271761,0.7024082630862991,0.31296660520438485,STRESS,BULL_STEEP
2009-01-29,0.9342645069476139,0.8720569752827817,0.5,-0.011567067638004525,0.9843988883040184,0.9218055672631414,0.31296660520438485,STRESS,BULL_STEEP
2009-01-30,0.9327198989958816,0.8692919983242564,0.5,-0.0016532876291948106,1.094489589745771,1.031896268704894,0.31296660520438485,STRESS,BULL_STEEP
2009-02-02,0.9400072183739042,0.8830330959363217,0.5,0.007812977278460309,1.079967255875407,1.01737393483453,0.31296660520438485,STRESS,BULL_STEEP
2009-02-03,0.9286856482034456,0.8620025136154167,0.5,-0.01204413109725222,1.1315368638251224,1.0689435427842455,0.31296660520438485,STRESS,BULL_STEEP
2009-02-04,0.9267660687552154,0.8589861751152073,0.5,-0.0020669851547115425,1.048843070965532,0.9862497499246552,0.31296660520438485,STRESS,BULL_STEEP
2009-02-05,0.9274671805216249,0.8597402597402596,0.5,0.0007565142812697712,1.0818309675539481,1.0192376465130712,0.31296660520438485,STRESS,BULL_STEEP
2009-02-06,0.9257266249659839,0.8570590699622956,0.5,-0.0018766761694598566,1.6796639755957896,1.6170706545549127,0.31296660520438485,STRESS,BULL_STEEP
2009-02-09,0.9273878716111713,0.859824046920821,0.5,0.0017945326410465645,1.4084102899235913,1.3458169688827144,0.31296660520438485,STRESS,BULL_STEEP
2009-02-10,0.9375483622004681,0.8785085881860074,0.5,0.01095603134386991,0.9316473117255065,0.8690539906846295,0.31296660520438485,STRESS,BULL_STEEP
2009-02-11,0.9435437673240457,0.8899036447423543,0.5,0.006394768915713389,0.6515884658945609,0.5889951448536839,0.31296660520438485,STRESS,BULL_STEEP
2009-02-12,0.939016306922551,0.881524926686217,0.5,-0.004798357594300917,0.8817231031641738,0.8191297821232968,0.31296660520438485,STRESS,BULL_STEEP
2009-02-13,0.9265636734511291,0.8580645161290322,0.5,-0.013261360191105853,1.0631719618321098,1.000578640791233,0.31296660520438485,STRESS,BULL_STEEP
2009-02-17,0.9408264798535894,0.8847926267281107,0.5,0.015393228561763173,0.8965567045324742,0.8339633834915972,0.31296660520438485,STRESS,BULL_STEEP
2009-02-18,0.9370307122384813,0.8772517804775871,0.5,-0.004034503382280119,1.128935955578881,1.066342634538004,0.31296660520438485,STRESS,BULL_STEEP
2009-02-19,0.928555555013896,0.8623376623376625,0.5,-0.009044695241993694,0.9714737435741408,0.9088804225332638,0.31296660520438485,STRESS,BULL_STEEP
2009-02-20,0.933235238977762,0.8707163803938,0.5,0.005039745805834772,0.9579992185476373,0.8954058975067603,0.31296660520438485,STRESS,BULL_STEEP
2009-02-23,0.9378846289693257,0.8787599497276918,0.5,0.00498201289168676,0.8576833095330539,0.7950899884921769,0.31296660520438485,STRESS,BULL_STEEP
2009-02-24,0.9373502595210029,0.8778382907415166,0.5,-0.0005697603221304082,0.7753980025552516,0.7128046815143746,0.31296660520438485,STRESS,BULL_STEEP
2009-02-25,0.9317674237444905,0.8677000418935904,0.5,-0.005955976135713914,0.7391582565440113,0.6765649355031343,0.31296660520438485,STRESS,BULL_STEEP
2009-02-26,0.9269061344167315,0.8585672392124005,0.5,-0.0052172776208712635,1.1578076244915056,1.0952143034506288,0.31296660520438485,STRESS,BULL_STEEP
2009-02-27,0.9243217759662118,0.8536237955592795,0.5,-0.002788155514955093,1.1178987978604666,1.0553054768195897,0.31296660520438485,STRESS,BULL_STEEP
2009-03-02,0.9305468514167694,0.8653540008378718,0.5,0.006734749318277666,1.183767144012778,1.121173822971901,0.31296660520438485,STRESS,BULL_STEEP
2009-03-03,0.9274384212876178,0.859572685379137,0.5,-0.0033404337722695576,1.3792717769097715,1.3166784558688946,0.31296660520438485,STRESS,BULL_STEEP
2009-03-04,0.925398123996559,0.8556346878927524,0.5,-0.002199927503786281,1.2345210488755334,1.1719277278346565,0.31296660520438485,STRESS,BULL_STEEP
2009-03-05,0.9382239992428336,0.8794302471721825,0.5,0.013859845739564447,0.8277281593886706,0.7651348383477936,0.31296660520438485,STRESS,BULL_STEEP
