year,strat_ret,bm_ret,excess
2009,-0.1316496346905236,-0.2511445094098719,0.11949487471934828
2010,0.06825694140890248,0.04739999111567905,0.02085695029322343
2011,0.3123481240102519,0.31472683915887867,-0.0023787151486267533
2012,0.04592418758768235,-0.008921521388566389,0.05484570897624874
2013,-0.15943224954612967,-0.15943224954612967,0.0
2014,0.16583937406999683,0.23620655802081458,-0.07036718395081776
2015,-0.018050876134871774,-0.04240787801778967,0.024357001882917895
2016,0.01197249498859776,-0.012025211477855069,0.02399770646645283
2017,0.06619957561753509,0.06488709812809224,0.0013124774894428537
2018,0.06366748989367932,-0.04217247359293741,0.10583996348661673
2019,0.1531494194023515,0.11496996132005388,0.03817945808229761
2020,0.25964692224786057,0.16423088278712572,0.09541603946073485
2021,0.0891864272042946,-0.058093151505009044,0.14727957870930364
2022,-0.004528165187464905,-0.3281597948579532,0.3236316296704883
2023,0.1479704397287791,-0.006830052229810701,0.1548004919585898
2024,-0.001443871487729842,-0.11680825242718507,0.11536438093945522
2025,0.0792390802764491,-0.0019466391847020592,0.08118571946115116
2026,0.0013617793917382048,0.028223955943092127,-0.026862176551353922
