z_windows,k_slope,yc_cw,k_yc,tl_c,ts_c,tl_s,adapt_days,adapt_raise,max_hold_days,sharpe,sortino,calmar,ann_ret,mdd,excess,n_events,n_dead,win_rate,consistency,min_excess,composite_score
"[63, 252]",0.75,126,0.2,-3.375,3.0,-2.875,63,1.0,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.5,3.0,-2.875,63,1.5,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.375,3.0,-2.875,63,1.5,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.375,3.0,-2.875,42,0.75,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.5,3.0,-2.875,42,1.5,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.375,3.0,-2.875,42,1.0,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.375,3.0,-2.875,42,1.5,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.5,3.0,-2.875,63,0.75,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.375,3.0,-2.875,63,0.75,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.5,3.0,-2.875,42,0.75,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.5,3.0,-2.875,42,1.0,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-3.5,3.0,-2.875,63,1.0,252,0.4196937426339767,0.503249602156906,0.3140342204422263,0.0617512252301764,-0.19663852284384065,0.0778723688783377,55,3,0.7777777777777778,10.32779635856516,-0.07036718395081776,0.2318645432143269
"[63, 252]",0.75,126,0.2,-2.75,3.0,-2.875,63,1.0,252,0.4315563282387601,0.49003596770107455,0.3111546535513159,0.06118499145031775,-0.19663852284384065,0.07730613509847906,67,3,0.7777777777777778,9.1882808423356,-0.17092087178480408,0.2314891723517409
"[63, 252]",0.75,126,0.2,-2.75,3.0,-2.875,42,1.0,252,0.4315563282387601,0.49003596770107455,0.3111546535513159,0.06118499145031775,-0.19663852284384065,0.07730613509847906,67,3,0.7777777777777778,9.1882808423356,-0.17092087178480408,0.2314891723517409
"[63, 252]",0.75,126,0.2,-2.75,3.0,-2.875,42,0.5,252,0.4315563282387601,0.49003596770107455,0.3111546535513159,0.06118499145031775,-0.19663852284384065,0.07730613509847906,68,3,0.7777777777777778,9.1882808423356,-0.17092087178480408,0.2314891723517409
"[63, 252]",0.75,126,0.2,-2.75,3.0,-2.875,42,0.75,252,0.4315563282387601,0.49003596770107455,0.3111546535513159,0.06118499145031775,-0.19663852284384065,0.07730613509847906,67,3,0.7777777777777778,9.1882808423356,-0.17092087178480408,0.2314891723517409
"[63, 252]",0.75,126,0.2,-2.75,3.0,-2.875,63,0.75,252,0.4315563282387601,0.49003596770107455,0.3111546535513159,0.06118499145031775,-0.19663852284384065,0.07730613509847906,67,3,0.7777777777777778,9.1882808423356,-0.17092087178480408,0.2314891723517409
"[63, 252]",0.75,126,0.2,-2.75,3.0,-2.875,42,1.5,252,0.4315563282387601,0.49003596770107455,0.3111546535513159,0.06118499145031775,-0.19663852284384065,0.07730613509847906,67,3,0.7777777777777778,9.1882808423356,-0.17092087178480408,0.2314891723517409
"[63, 252]",0.75,126,0.2,-2.75,3.0,-2.875,126,1.5,252,0.4315563282387601,0.49003596770107455,0.3111546535513159,0.06118499145031775,-0.19663852284384065,0.07730613509847906,69,3,0.7777777777777778,9.1882808423356,-0.17092087178480408,0.2314891723517409
"[63, 252]",0.75,126,0.2,-2.75,3.0,-2.875,63,1.5,252,0.4315563282387601,0.49003596770107455,0.3111546535513159,0.06118499145031775,-0.19663852284384065,0.07730613509847906,67,3,0.7777777777777778,9.1882808423356,-0.17092087178480408,0.2314891723517409
